road_id,postcode,name,locality,city
1800784,5512,Babbacombe Avenue,Otaki Beach,Otaki
3049482,4500,Babbage Place,"Otamatea,Saint Johns Hill",Whanganui
1835334,1072,Baber Drive,Stonefields,Auckland
1806998,3610,Baber Street,Waihi,
1812156,3420,Baberton Street,Tokoroa,
1823217,0614,Babich Road,Henderson Valley,Auckland
1841895,0612,Babich Road North,Ranui,Auckland
3081994,0810,Babina Avenue,Kumeu,
1822108,0630,Babington Place,Torbay,Auckland
1786514,7910,Babington Street,Parkside,Timaru
3081997,0810,Babos Avenue,Kumeu,
1772153,9022,Babsie Road,Maia,Dunedin
3012638,0373,Babylon Coast Road,"Mamaranui,Omamari,Parore",Dargaville
1827702,2112,Bacardi Place,Conifer Grove,Takanini
3078668,7020,Bacca Court,Richmond,
1840334,4930,Baccata Lane,Dannevirke,
1785441,7591,Bachelors Road,Little River,
1820472,0484,Bacica Road,Waiharara,Awanui
1790497,7883,Back Creek Road,Ruatapu,
1823206,0614,Backhurst Grove,Massey,Auckland
3006169,,Back Line Road,"Hunters Hills,Maungati,Otaio","Saint Andrews,Southburn"
3058420,3576,Back Miranda Road,"Pukorokoro / Miranda,Waitakaruru","Kaiaua,Ngatea"
3026113,4071,Back Ormond Road,"Lytton West,Makauri,Ormond,Waihirere",Gisborne
3080951,2019,Backridge Way,Flat Bush,Auckland
3039729,0483,Backriver Road,"Mangonui,Peria","Kaitaia,Mangonui"
1795786,4471,Back Road,Aokautere,
1789655,7183,Back Road,East Takaka,Takaka
1787935,7823,Back Road,Granity,
1841122,9532,Back Road,Lawrence,
1775411,9291,Back Road,"Milburn,Milton",Milton
1770686,9494,Back Road,Ngapara,Oamaru
1785879,7583,Back Road,Okains Bay,
3041258,9818,Back Road,Stewart Island/Rakiura,Stewart Island
3041261,9073,Back Road,Woodside,Outram
3073542,9371,Back Shed Road,Jacks Point,Queenstown
1773723,9586,Back Stream Road,"Catlins Conservation Park,Tahakopa","Catlins Conservation Park,Owaka"
1773983,9522,Back Street,Tapanui,
3025234,,Back Track,"Barrhill,Highbank,Methven,Mitcham","Ashburton,Lauriston,Methven"
1795631,5783,Backwater Road,Martinborough,
3015248,9412,Backyards Road,Otematata,
1818666,1010,Bacon's Lane,Auckland Central,Auckland
1772140,9014,Bacon Street,Broad Bay,Dunedin
1832146,2014,Bacot Place,Howick,Auckland
1788974,7077,Badcock Road,Matiri,Murchison
1824691,1071,Baddeley Avenue,Kohimarama,Auckland
1830963,0986,Baddeleys Beach Road,Tawharanui Peninsula,Matakana
1816408,4377,Baddeley Street,Waiiti,Urenui
1824687,1050,Baden Powell Place,Remuera,Auckland
1798742,4710,Baden-Powell Street,Marton,
1794207,6021,Baden Road,Hataitai,Wellington
1798462,5510,Baden Street,Levin,
1809129,3110,Baden Street,Otumoetai,Tauranga
3013816,2022,Bader Drive,"Mangere,Mangere Bridge,Mangere East",Auckland
3035244,3206,Bader Street,"Bader,Melville",Hamilton
1811295,3286,Badger Close,Newstead,Hamilton
1790204,7805,Badger Lane,Greymouth,
3029284,8083,Badger Street,"North New Brighton,Parklands",Christchurch
3036392,7986,Badham Road,"Coldstream,Orton,Rangitata Island","Ashburton,Temuka"
1813736,3210,Badminton Court,Huntington,Hamilton
1776986,9871,Badwit Road,Oteramika,Wyndham
1794194,6021,Baffin Grove,Kingston,Wellington
1803313,4120,Baffin Place,Flaxmere,Hastings
1842153,0616,Baffin Street,Hobsonville,Auckland
1819920,0200,Baffin Street,Opua,
3062989,3802,Baffin Street,Pirongia,
1782679,8061,Baffin Street,Wainoni,Christchurch
1807361,3216,Baffles Crescent,Silverdale,Hamilton
1840161,0179,Bagara Lane,Maungatapere,Whangarei
1770685,9410,Baghdad Road,"Hampden,Hillgrove","Hampden,Moeraki"
1825258,1042,Bagley Street,Hillsborough,Auckland
1824702,1072,Bagnall Avenue,Point England,Auckland
1806256,3579,Bagnall Place,Pauanui,
1806775,3574,Bagnall Square,Turua,Ngatea
1819429,0573,Bagnal Road,Mangawhai,
3042424,4581,Bagotts Road,"Ratana,Whangaehu",Whanganui
1773722,9771,Bagrie Road,Waipahi,Gore
1815070,3289,Bagust Road,Rotokauri,Hamilton
