road_id,postcode,name,locality,city
1819145,0376,C7 Road,Waipoua,Aranga
3081201,2010,Cabaret Way,Botany Downs,Auckland
3083511,8025,Cabbage Close,Halswell,Christchurch
1820143,0473,Cabbage Tree Bay Road,Opononi,
1838948,3377,Cabbage Tree Grove,Kinloch,Taupo
1801764,6037,Cabbage Tree Grove,Woodridge,Wellington
3079688,0931,Cabbage Tree Lane,Orewa,
1774021,9587,Cabbage Tree Road,Heriot,Tapanui
1824971,1025,Cabbage Tree Swamp Drive,Sandringham,Auckland
3077627,4414,Cabbage Tree Way,Milson,Palmerston North
1830233,0800,Cabeleigh Drive,Helensville,
1822585,0632,Cabello Place,Unsworth Heights,Auckland
3080896,0510,Caber Lane,Waipu,
1801772,5032,Cabernet Close,Paraparaumu,
1838378,3210,Cabernet Close,Rototuna,Hamilton
3079439,3782,Cabernet Court,Te Kauwhata,
1823477,0614,Cabernet Crescent,Westgate,Auckland
1792476,5024,Cabin Lane,Whitby,Porirua
1820404,0420,Cable Bay Block Road,Cable Bay,
1829861,0420,Cable Bay Heights Drive,Cable Bay,
1839135,1971,Cable Bay Lane,Waiheke Island,
3071003,7071,Cable Bay Road,"Cable Bay,Delaware Bay,Hira",Hira
1794653,6011,Cable Car Lane,Wellington Central,Wellington
3079802,9300,Cable Lane,Frankton,Queenstown
1942552,8025,Cable Lane,Halswell,Christchurch
1822888,0600,Cable Place,New Lynn,Auckland
1821043,0881,Cable Road,Muriwai,
1830530,0881,Cable Road,Waimauku,
1791271,7285,Cable Station Road,Blind River,Seddon
1787476,8042,Cable Street,Sockburn,Christchurch
3040121,6011,Cable Street,"Te Aro,Wellington Central",Wellington
1803379,4120,Cabot Place,Flaxmere,Hastings
1818045,4310,Cabot Place,Frankleigh Park,New Plymouth
1794654,6021,Cabot Place,Kingston,Wellington
3061198,3206,Cabourne Drive,"Fitzroy,Glenview",Hamilton
1799118,4410,Caccia Birch Lane,Hokowhitu,Palmerston North
1840132,3800,Cactus Court,Te Awamutu,
1808260,5032,Cadastral Court,Paraparaumu,
1805645,4110,Cadbury Road,Onekawa,Napier
