road_id,postcode,name,locality,city
1777152,9730,Dacia Street,Lumsden,
1775476,9011,Dacre Court,Clyde Hill,Dunedin
1825542,0930,Dacre Grove,Gulf Harbour,Whangaparaoa
1839565,9871,Dacre Morton Mains Road,"Dacre,Morton Mains,Seaward Downs","Invercargill,Wyndham"
1823902,1010,Dacre Street,Eden Terrace,Auckland
1782877,8062,Dacre Street,Linwood,Christchurch
1776064,9712,Dacre Street,Mataura,
1770240,9400,Dacre Street,Oamaru North,Oamaru
1841001,7020,Daelyn Drive,Richmond,
1842177,9879,Daffodil Bay Road,Sandy Point,Invercargill
1835269,5713,Daffodil Grove,Carterton,
3084565,7630,Daffodil Lane,Kaiapoi,
1819725,0474,Daffodil Road,Awarua,Kaikohe
1823402,0604,Daffodil Street,Titirangi,Auckland
1808188,2695,Daff Road,Port Waikato,
1828508,2102,Dagenham Street,Manurewa,Auckland
1806780,3671,Dagger Road,Kerepehi,Paeroa
1795103,5882,Daggs Road,"Bideford,Ihuraua",Masterton
1795206,5888,Daggs Road,Kaituna,Masterton
1804636,4930,Dagmar Street,Dannevirke,
3081185,5018,Dahl Drive,"Trentham,Wallaceville",Upper Hutt
1777910,9682,Dahlenburg Road,Waikoura,Otautau
1836990,0632,Dahlia Drive,Fairview Heights,Auckland
3078983,8025,Dahlia Drive,Wigram,Christchurch
1799436,4410,Dahlia Street,Palmerston North,
1799440,4414,Dahlstrom Grove,Kelvin Grove,Palmerston North
1791542,3989,Dahya Lala Drive,Kakahi,
1832651,0600,Dainton Place,New Lynn,Auckland
3050110,7373,Dairy Farm Road,"Inland Road,Peketa",Kaikoura
1795792,4472,Dairy Farm Road,Turitea,Palmerston North
3064803,,Dairy Flat Highway,Albany,Auckland
3038682,,Dairy Flat Highway,"Albany,Albany Heights,Dairy Flat,Lucas Heights,Silverdale","Auckland,Dairy Flat,Silverdale"
1771338,9391,Dairy Gully Road,Waikerikeri,Alexandra
1832912,2016,Dairyland Drive,East Tamaki Heights,Auckland
1828485,2023,Dairy Road,Otara,Auckland
1821242,0794,Dairy Stream Road,Dairy Flat,
3083321,9871,Dairy Way,Seaward Bush,Invercargill
2018182,0930,Daisy Burrell Drive,Gulf Harbour,Whangaparaoa
1787405,7971,Daisy Hill Road,Otaio,Saint Andrews
1819727,0474,Daisy Road,Awarua,Kaikohe
1814352,3214,Daisy Street,Claudelands,Hamilton
3028093,3225,Daisy Street,Raglan,
1795391,5887,Dakins Road,East Taratahi,Carterton
1821742,0626,Dakota Avenue,Beach Haven,Auckland
1838721,8042,Dakota Crescent,Wigram,Christchurch
3030876,7999,Dakota Drive,Pukaki,
1836069,3591,Dakota Drive,Whitianga,
1792733,5018,Dakota Grove,Totara Park,Upper Hutt
1830512,2582,Dakota Lane,Ardmore,Papakura
1818039,4312,Dakota Place,Bell Block,New Plymouth
2009576,7272,Dakota Place,Burleigh,Blenheim
1826139,0110,Dakota Place,Raumanga,Whangarei
1773034,9018,Dakota Place,Waldronville,Dunedin
3025427,5032,Dakota Road,Paraparaumu,
1788533,7011,Dakota Street,Nelson Airport,Nelson
1836057,3116,Dakota Way,Mount Maunganui,
1779093,7472,Dalbeg Road,"Ashley Forest,Balcairn,Broomfield","Amberley,Broomfield,Loburn"
1811221,3284,Dalbeth Place,Matangi,Hamilton
3053862,3072,Dalbeth Road,"Hamurana,Ngongotaha","Hamurana,Rotorua"
1836714,2016,Dalcross Drive,Flat Bush,Auckland
1803384,4122,Dalcross Street,Mayfair,Hastings
1840187,5512,Dal Din Drive,Otaki,
1830412,0629,Daldys Bush Lane,Bayview,Auckland
1831419,1010,Daldy Street,Auckland Central,Auckland
3083989,7975,Daleast Lane,Levels,Timaru
1778328,9710,Dale Crescent,East Gore,Gore
1832242,2010,Dale Crescent,Pakuranga,Auckland
1782155,7971,Daledew Road,Otaio,Saint Andrews
1783877,8022,Dalefield Drive,Cashmere,Christchurch
1795356,,Dalefield Road,"Carterton,Dalefield",Carterton
1774841,9371,Dalefield Road,Dalefield,Queenstown
1807091,3200,Dale Place,St Andrews,Hamilton
1817464,4672,Dale Road,Hawera,
1832603,0391,Dale Road,Pouto,
1827647,2579,Dale Road,Ramarama,Drury
1796235,5032,Dale Road,Raumati South,Paraparaumu
1778693,9672,Dale Road,Te Anau,
1831326,0618,Dale Road,Whenuapai,Auckland
1807092,3216,Dalesford Street,Silverdale,Hamilton
1808844,3116,Dales Lane,Mount Maunganui,
1840287,9371,Dalesman Lane,Arrowtown,
1827648,2579,Dale South Road,Ramarama,Drury
1771798,9305,Dale Street,Albert Town,Wanaka
1817663,4598,Dale Street,Alton,Patea
1785084,7630,Dale Street,Kaiapoi,
1772648,9010,Dale Street,"Kaikorai,Wakari",Dunedin
1816674,4310,Dale Street,Lower Vogeltown,New Plymouth
1776695,9877,Dale Street,Woodend,Invercargill
1807093,3214,Dalethorpe Avenue,Fairfield,Hamilton
1780491,7580,Dalethorpe Road,"Sheffield,Springfield",
1778212,9720,Daley Place,Winton,
1799443,4412,Dalfield Place,Highbury,Palmerston North
1783879,8022,Dalgarven Place,Hillsborough,Christchurch
3052780,2104,Dalgety Drive,"Manurewa,Wiri",Auckland
3038063,2471,Dalgety Road,Kopuku,Maramarua
1840963,4794,Dalgety Road,Mangaweka,
1786113,7382,Dalgetys Road,Cheviot,
1782872,8041,Dalgety Street,Riccarton,Christchurch
1772919,9012,Dalgety Street,"Saint Kilda,South Dunedin",Dunedin
1842685,9371,Dalgleish Lane,Arrowtown,
