road_id,postcode,name,locality,city
1831771,1060,Faber Avenue,Mount Wellington,Auckland
1816388,4330,Faber Place,Inglewood,
3077920,3210,Faber Place,Rototuna North,Hamilton
3083519,3910,Fabia Factory Lane,Te Kuiti,
1801406,5882,Fabians Road,Mauriceville,
3065976,5794,Fabians Road,"Morison Bush,Papawai",Greytown
1811980,4332,Fabian Street,Stratford,
1791155,7275,Fabians Valley Road,Onamalutu,Wairau Valley
3085636,3432,Fable Way,Leamington,Cambridge
1798583,4815,Fabrin Street,Foxton Beach,Foxton
1774804,9330,Fache Street,Clyde,
1787195,3330,Facilita Avenue,Wharewaka,Taupo
1837951,3900,Factory Drive,Otorohanga,
3081157,7614,Factory Drive,Rolleston,
1833784,0114,Factory Lane,Hikurangi,
1806791,3503,Factory Lane,Ngatea,
1811258,3721,Factory Lane,Taupiri,
1777326,9875,Factory Road,"Ashers,Gorge Road",Invercargill
1842652,4983,Factory Road,Ballance,Pahiatua
1784490,8051,Factory Road,Belfast,Christchurch
1788833,7022,Factory Road,Brightwater,
1779729,7381,Factory Road,Cheviot,
1791385,7371,Factory Road,Hapuku,Kaikoura
1777327,9872,Factory Road,Hedgehope,Invercargill
1791156,7273,Factory Road,Koromiko,Picton
1785908,7583,Factory Road,Little Akaloa,
1805682,4977,Factory Road,Matamau,Dannevirke
1819660,0211,Factory Road,Moerewa,
1770151,,Factory Road,Mosgiel,
1796054,3197,Factory Road,Otara,Opotiki
1827085,2682,Factory Road,Otaua,
1770354,9430,Factory Road,Palmerston,
1773811,9271,Factory Road,Paretai,Balclutha
1832050,2120,Factory Road,Pukekohe,
1788843,7198,Factory Road,Riwaka,Motueka
1784962,7472,Factory Road,Sefton,
1788494,7110,Factory Road,Takaka,
1815306,3800,Factory Road,Te Awamutu,
3049635,,Factory Road,"Temuka,Winchester",
1775788,9883,Factory Road,Thornbury,Riverton/Aparima
1811576,3401,Factory Road,Waharoa,
1811726,3393,Factory Road,Waihou,Te Aroha
1809789,3196,Factory Road,Waimana,
1830877,0812,Factory Road,Waimauku,
1771036,9397,Factory Road,Waipiata,Ranfurly
1813392,3674,Factory Road North,Hikutaia,Paeroa
