road_id,postcode,name,locality,city
1825917,1060,Gabador Place,Mount Wellington,Auckland
3082122,7602,Gabbie Place,Southbridge,
3085290,4130,Gables Way,Havelock North,Havelock North
3079631,3112,Gabriela Close,Pyes Pa,Tauranga
1806506,8025,Gabriel Grove,Aidanfield,Christchurch
1775365,9591,Gabriels Gully Road,"Gabriels Gully,Lawrence",Lawrence
3037356,3198,Gabriels Gully Road,Waiotahe,Opotiki
1773352,9532,Gabriel Street,Lawrence,
1796191,5032,Gabriel Street,Raumati Beach,Paraparaumu
3077606,2402,Gadd Lane,Pokeno,
1814725,3120,Gadd Place,Whakatane,
3029946,7805,Gadd Road,Paroa,Greymouth
3002287,4191,Gaddum Road,"Frasertown,Raupunga","Raupunga,Wairoa"
1795642,4010,Gaddums Hill Road,Outer Kaiti,Gisborne
1807192,3216,Gadsby Place,Hamilton East,Hamilton
1818676,2024,Gadsby Road,Favona,Auckland
1816335,3995,Gadsby Road,Ohura,
1809914,3985,Gadsby Road,Te Kuiti,
1792983,5011,Gadsby Street,Avalon,Lower Hutt
1797764,4995,Gadsby Street,Eketahuna,
1822980,0612,Gaede Terrace,Sunnyvale,Auckland
1792155,5024,Gaff Place,Whitby,Porirua
3081927,4130,Gage Lane,Havelock North,
1794947,6037,Gahagan Way,Newlands,Wellington
1831193,0792,Gails Drive,Okura,Auckland
1818030,4310,Gaine Street,New Plymouth,
1784522,8042,Gainford Street,Avonhead,Christchurch
1787726,7614,Gainsborough Court,Rolleston,
1792984,5010,Gainsborough Grove,Belmont,Lower Hutt
1799557,4412,Gainsborough Grove,Highbury,Palmerston North
1783642,8025,Gainsborough Street,Hoon Hay,Christchurch
1832314,2102,Gainsborough Street,Manurewa,Auckland
3085353,7430,Gainsford Mews,Oxford,Oxford
1791203,7206,Gainsford Place,Woodbourne,Blenheim
1807017,3282,Gainsford Road,Peacocke,Hamilton
1774738,9310,Gair Avenue,Cromwell,
1818650,2103,Gairloch Place,Wattle Downs,Auckland
1774908,9010,Gairloch Street,North East Valley,Dunedin
3067067,4972,Gaisford Road,"Kumeroa,Maharahara","Dannevirke,Kumeroa"
1805404,4200,Gaisford Terrace,Waipukurau,
3085442,9302,Gala Burn Lane,Arrowtown,Arrowtown
1837442,9320,Gala Grove,Alexandra,
1816128,3210,Galahad Court,Rototuna North,Hamilton
1779143,8062,Gala Lane,Woolston,Christchurch
1818724,0612,Gala Place,Henderson,Auckland
3000392,9810,Gala Street,"Avenal,Queens Park,Richmond",Invercargill
1778752,9691,Gala Street,Fiordland National Park,
3000394,9013,Gala Street,"Vauxhall,Waverley",Dunedin
3061703,,Galatea Road,"Galatea,Lake Matahina,Omataroa,Te Teko,Waiohau","Murupara,Whakatane"
1824631,1011,Galatea Terrace,Herne Bay,Auckland
1810195,3077,Galatos Road,Atiamuri,
1824630,1010,Galatos Street,Auckland Central,Auckland
1841946,7400,Galatos Street,Rangiora,
1821891,0630,Galaxy Drive,"Mairangi Bay,Sunnynook",Auckland
3080475,0582,Galaxy Lane,Langs Beach,Waipu
3082160,3876,Galaxy Place,Te Awamutu,
1815910,3112,Galaxy Place,Welcome Bay,Tauranga
1840420,3491,Galaxy Road,"Kinleith,Tokoroa",Tokoroa
1783648,8061,Galbraith Avenue,Avonside,Christchurch
1807193,3200,Galbraith Avenue,Beerescourt,Hamilton
1841044,0932,Galbraith Greens,Silverdale,
1786048,7920,Galbraith Place,Temuka,
1770124,9472,Galbraith Road,"Flag Swamp,Waikouaiti",Waikouaiti
3048343,7985,Galbraith Road,"Kakahu,Waitohi","Geraldine,Temuka"
1780713,7700,Galbraith Street,Allenton,Ashburton
1826365,0173,Galbraith Street,Matapouri,Whangarei
1805947,3720,Galbraith Street,Ngaruawahia,
1814863,3015,Galbraith Street,Springfield,Rotorua
1807050,3610,Galbraith Street,Waihi,
1825398,1041,Galbraith Street,Wesley,Auckland
1839257,4414,Galea Grove,Kelvin Grove,Palmerston North
1781568,7991,Gale Cutting Road,Geraldine,
1839928,7081,Galeo Road,Redwood Valley,Richmond
1787339,7783,Gales Road,Bankside,
1827784,2110,Galilee Avenue,Red Hill,Papakura
3057444,3200,Galilee Grove,Te Rapa,Hamilton
3040683,8081,Galilee Lane,"Clifton,Moncks Bay",Christchurch
1814994,3720,Galileo Street,Ngaruawahia,
1839287,7632,Galileo Way,Leeston,
3041865,8042,Gallaghan Close,Wigram,Christchurch
1989989,8042,Gallagher Drive,Hornby South,Christchurch
1815416,3206,Gallagher Drive,Melville,Hamilton
1806131,3508,Gallagher Drive,Tairua,
1806132,3579,Gallagher Park Lane,Pauanui,
3022132,9793,Gallagher Road,"Acton,West Dome",Acton
1807886,3873,Gallagher Road,Ngahape,Te Awamutu
1826913,2678,Gallagher Road,Patumahoe,Pukekohe
1776119,9772,Gallaghers Road,Kaiwera,Gore
1810196,3015,Gallagher Street,Springfield,Rotorua
1812388,3330,Gallagher Street,Taupo,
1815135,3320,Gallagher Street,Te Aroha,
1828861,2102,Gallaher Street,Manurewa East,Auckland
1948494,2110,Gallantry Crescent,Papakura,
3080291,8025,Gallantry Lane,Halswell,Christchurch
1842569,3210,Gallants Place,Flagstaff,Hamilton
1813808,3210,Gallery Grove,Flagstaff,Hamilton
1805912,3415,Gallery Street,Arapuni,Putaruru
1819080,7971,Galletlys Road,Saint Andrews,
1788587,7096,Galletlys Road,Tapawera,Wakefield
1779548,7392,Gallettly Road,Balmoral,
1833141,0185,Galliard Way,Kauri,
1819333,0594,Gallie Branch Road,Matakohe,
1803199,4120,Gallien Street,Saint Leonards,Hastings
1819334,0594,Gallie Road,Matakohe,
3078018,2019,Gallipoli Place,Flat Bush,Auckland
1943068,5032,Gallipoli Place,Paraparaumu,
1804197,4110,Gallipoli Road,Onekawa,Napier
1792816,5018,Gallipoli Road,Trentham,Upper Hutt
1786209,7632,Gallipoli Street,Leeston,
1771968,9013,Gallipoli Street,Waverley,Dunedin
1841318,5791,Gallon Road,Dalefield,Carterton
1822983,0614,Gallony Avenue,Massey,Auckland
