road_id,postcode,name,locality,city
3084550,3710,Haahi Crescent,Te Kauwhata,
3084833,3218,Haakinakina Road,Temple View,Hamilton
3085066,2577,Haapuapua Loop,Drury,Drury
1793042,5010,Haast Close,Kelson,Lower Hutt
3071677,9371,Haast Eagle Road,Mount Creighton,Queenstown
3052772,7886,Haast Highway,"Bruce Bay,Fox Glacier,Haast,Karangarua,Paringa,Westland National Park/Tai Poutini National Park","Fox Glacier,Haast,Westland National Park/Tai Poutini National Park"
3054556,7886,Haast-Jackson Bay Road,"Haast,Jackson Bay",Haast
3002810,,Haast Pass Highway,"Haast,Mount Aspiring National Park",
1771758,9382,Haast Pass-Makarora Road,"Makarora,Mount Aspiring National Park","Mount Aspiring National Park,Wanaka"
1799485,4412,Haast Place,Awapuni,Palmerston North
3064088,4112,Haast Place,Poraiti,Napier
3056364,0372,Haast Road,"Mamaranui,Tangowahine",Dargaville
1782614,8011,Haast Street,Linwood,Christchurch
1831576,1050,Haast Street,Remuera,Auckland
1780176,7608,Habgood Place,Lincoln,
3078292,0616,Habitat Place,Hobsonville,Auckland
1801036,4010,Hacche Road,Outer Kaiti,Gisborne
1790394,7881,Hackells Mill Road,Kokatahi,
1795114,5810,Hacker Street,Masterton,
3073207,9371,Hackett Road,Jacks Point,Queenstown
1819222,0372,Hackett Road,Mamaranui,Dargaville
1796346,4470,Hacketts Road,Ashhurst,
1780559,7571,Hacketts Road,Darfield,
1824744,1011,Hackett Street,Saint Marys Bay,Auckland
1796859,4500,Hackett Street,Whanganui East,Whanganui
3020034,,Hackthorne Road,"Carew,Mayfield,Ruapuna,Valetta,Westerfield",Ashburton
1783890,8022,Hackthorne Road,Cashmere,Christchurch
1833131,2104,Ha Crescent,Wiri,Auckland
1931772,2019,Haddington Drive,Flat Bush,Auckland
3015089,9510,Haddington Street,Waikouaiti,
1790381,7884,Haddock Road,Harihari,
1806154,3510,Haddon Crescent,Whitianga,
1785935,8051,Haddon Lane,Harewood,Christchurch
1772296,9016,Haddon Place,Dunedin Central,Dunedin
3080782,3210,Haddonstone Avenue,Rototuna North,Hamilton
1828582,2024,Haddon Street,Mangere East,Auckland
1838639,9304,Haddow's Place,Lake Hayes,Queenstown
1837339,3114,Haden Place,Omokoroa,
1824749,1026,Hadfield Avenue,Waterview,Auckland
1839896,4710,Hadfield Court,Marton,
1796853,4500,Hadfield Crescent,College Estate,Whanganui
1796034,5032,Hadfield Place,Paraparaumu Beach,Paraparaumu
1773458,9274,Hadfield Road,Greenfield,Clydevale
1798149,5391,Hadfield Road,Peka Peka,Waikanae
1821657,0626,Hadfield Street,Beach Haven,Auckland
1801481,5510,Hadfield Street,Levin,
1801451,5512,Hadfield Street,Otaki,
1817673,4520,Hadfield Street,Patea,
1804159,4110,Hadfield Terrace,Bluff Hill,Napier
1800440,6012,Hadfield Terrace,Kelburn,Wellington
1791868,5032,Hadleigh Court,Paraparaumu,
1838016,8025,Hadleigh Lane,Westmorland,Christchurch
1813593,3110,Hadleigh Place,Bethlehem,Tauranga
1774570,9010,Hadley Close,Glenleith,Dunedin
1817790,4371,Hadley Drive,Ridgewood,New Plymouth
3083222,9310,Hadley Place,Cromwell,
1809820,3127,Hadley Street,Kawerau,
1827697,2103,Hadley Wood Drive,Wattle Downs,Auckland
1784603,8041,Hadlow Place,Burnside,Christchurch
1781554,7974,Hadlow Road,Claremont,Timaru
1824741,1021,Hadlow Terrace,Grey Lynn,Auckland
1815687,3200,Hadrians Way,Nawton,Hamilton
1818491,0420,Haekaro Lane,Cable Bay,
1814506,3900,Haerehuka Street,Otorohanga,
1821588,0984,Hafton Road,Kaukapakapa,
1772802,9024,Hagart-Alexander Drive,Mosgiel,
1829946,2013,Hagen Close,Golflands,Auckland
1777823,9682,Hagen Road,Orawia,Otautau
1773055,9092,Haggart Street,Mosgiel,
3082723,4102,Haggarty Green,Te Awanga,
1838307,0486,Hagger Street,Kaimaumau,Awanui
1801737,4774,Haggerty Street,Kimbolton,
1839177,9371,Haggitt Lane,Lake Hayes,Queenstown
1795721,4702,Haggitt Street,Feilding,
3014043,8011,Hagley Avenue,"Addington,Christchurch Central",Christchurch
3028339,6037,Hagley Gap Road,"Grenada Village,Woodridge",Wellington
1792169,5022,Hagley Street,"Elsdon,Porirua City Centre",Porirua
1821659,0626,Hague Place,Birkenhead,Auckland
3056777,3204,Hague Road,"Hamilton Central,Waikato Hospital",Hamilton
1838625,4087,Haha Road,Tikitiki,
1831920,0172,Ha Ha Road,Pakotai,Whangarei
3078713,3206,Hahawaru Lane,Glenview,Hamilton
1813541,3591,Hahei Beach Road,Hahei,Whitianga
1813542,3591,Hahei Road,"Hahei,Purangi",Whitianga
1809821,3127,Hahuru Road,Kawerau,
1818825,1041,Haig Avenue,"Mount Roskill,Sandringham",Auckland
1818826,0794,Haigh Access Road,Redvale,Auckland
1811431,3288,Haigh Street,Horotiu,Hamilton
1782608,8023,Haig Place,Woolston,Christchurch
1779663,7392,Haig Road,Balmoral,
1815095,3400,Haig Road,Matamata,
1802624,4086,Haig Road,Tikitiki,
1807236,3204,Haig Street,Frankton,Hamilton
1772310,9011,Haig Street,Mornington,Dunedin
1813804,3300,Haig Street,Morrinsville,
1803352,4122,Haig Street,Parkvale,Hastings
1802773,4010,Haig Street,Te Hapara,Gisborne
1803044,4108,Haig Street,Wairoa,
