road_id,postcode,name,locality,city
3081276,2105,Jabal Crescent,Totara Park,Auckland
3083543,0602,Jabuka Street,Glen Eden,Auckland
1822576,0632,Jacanas Place,Unsworth Heights,Auckland
1821724,0626,Jacaranda Avenue,Beach Haven,Auckland
1805136,3110,Jacaranda Close,Brookfield,Tauranga
1830368,2120,Jacaranda Court,Pukekohe,
1814031,3510,Jacaranda Drive,Whitianga,
1793283,5010,Jacaranda Grove,Maungaraki,Lower Hutt
1804933,4112,Jacaranda Place,Greenmeadows,Napier
1830480,0230,Jacaranda Place,Kerikeri,
1784699,8083,Jacaranda Place,Parklands,Christchurch
1820364,0482,Jacentho Road,Peria,Kaitaia
1813780,3112,Jacinda Close,Pyes Pa,Tauranga
1829743,0612,Jacinta Grove,Swanson,Auckland
3080756,7901,Jack Adamson Drive,Twizel,
1829693,0794,Jack Barry Road,Waitoki,
1832739,0573,Jack Boyd Drive,Mangawhai Heads,Mangawhai
1825876,1062,Jack Browne Place,Otahuhu,Auckland
3014606,9371,Jackby Court,Jacks Point,Queenstown
1830414,1042,Jack Christie Drive,Hillsborough,Auckland
1829163,2104,Jack Conway Avenue,Manukau,Auckland
1931223,9371,Jack Dagg Lane,Arrowtown,
3021098,7173,Jackett Island,"Jackett Island,Moutere Inlet,Tasman Bay / Te Tai-o-Aorere",Motueka
3023824,4477,Jackeytown Road,Tiakitahuna,Palmerston North
1827871,2110,Jack Farrell Place,Papakura,
1830494,0993,Jack French Way,Stillwater,Silverdale
3078256,9371,Jack Hanley Drive,Jacks Point,Queenstown
1833196,0932,Jack Hawken Lane,Silverdale,
1806287,,Jack Henry Road,"Kinleith,Tokoroa",Tokoroa
1785971,8024,Jack Hinton Drive,Addington,Christchurch
3012707,0632,Jack Hinton Drive,"Albany,Rosedale",Auckland
1838014,2120,Jackies Place,Pukekohe,
1829152,2571,Jack Lachlan Drive,Beachlands,Auckland
1781995,7987,Jack Lovelock Track,Coal Stream,Fairlie
1806205,3510,Jackman Avenue,Whitianga,
1798658,4078,Jackman Road,Tiniroto,Manutuke
1773799,9271,Jackmans Creek Road,Glenomaru Valley,Kaka Point
1841000,8083,Jackmin Lane,Burwood,Christchurch
1983069,8023,Jacko Lane,Sydenham,Christchurch
1827625,2584,Jack Paterson Road,Opaheke,Papakura
1838998,2019,Jack Place,Flat Bush,Auckland
1842330,3289,Jack Rise,Grandview Heights,Hamilton
1826496,0172,Jack Road,Parakao,Whangarei
3083733,8025,Jack Rogers Road,Halswell,Christchurch
1812889,3800,Jack Russell Drive,Te Awamutu,
1773802,9586,Jacks Bay Road,Hinahina,Owaka
1837323,0272,Jacks Bay Road,Russell,
3035709,5391,Jacks Bush Road,Waikanae,
1842709,4071,Jacks Crescent,Lytton West,Gisborne
1841824,7618,Jacks Drive,West Melton,
1936308,0616,Jack Seabrook Road,Hobsonville,Auckland
1775276,9273,Jacks Hill Road,"Te Houka,Warepa",Balclutha
3056962,9875,Jacks Hill Road,"Tokanui,Waimahaka",Tokanui
3081913,3204,Jacks Landing Drive,Hamilton Lake,Hamilton
1808531,3173,Jacks Lane,Oropi,
3084584,0985,Jacks Lane,Warkworth,
1799497,4412,Jackson Avenue,Highbury,Palmerston North
1821182,0982,Jackson Crescent,Mahurangi East,Warkworth
