road_id,postcode,name,locality,city
1812666,3492,Kaahu Road,"Marotiri,Whakamaru","Mangakino,Taupo"
3078968,2113,Kaakahoa Road,Karaka,Papakura
3081900,3218,Kaakano Lane,Temple View,Hamilton
3079905,3434,Kaaka Street,Cambridge,
1827731,2103,Kaanapali Place,Wattle Downs,Auckland
3083197,2578,Kaapehu Street,Karaka,Papakura
3083529,2022,Kaaramuramu Lane,Mangere Bridge,Auckland
3082393,2578,Kaauka Close,Karaka,Papakura
1808163,3772,Kaawa School Road,Glen Murray,Onewhero
1849482,2113,Kabardin Street,Karaka,Papakura
1794518,6035,Kabul Street,Khandallah,Wellington
1781333,7903,Kabul Street,Pleasant Point,
1803058,4108,Kabul Street,Wairoa,
1837256,3800,Kacey Avenue,Te Awamutu,
1829164,2010,Kadina Place,Botany Downs,Auckland
1810272,3979,Kaeaea Road,Aria,
3080570,2578,Kaea Lane,Karaka,Papakura
1808321,0505,Kagan Avenue,Mangawhai,
3082362,0616,Kahakaha Lane,Hobsonville,Auckland
3083643,2113,Kahakaha Lane,Rosehill,Papakura
3080147,3791,Kahakaha Place,Ngaruawahia,
3080359,0612,Kaha Lane,Henderson,Auckland
1830049,0618,Kahala Place,West Harbour,Auckland
1830732,0272,Kaha Place,Russell,
1808125,3114,Kaharoa Avenue,Omokoroa,
3081146,2110,Kaha Road,"Papakura,Takanini","Auckland,Papakura"
3037069,3096,Kaharoa Road,"Hamurana,Okere Falls","Hamurana,Rotorua"
1817659,4597,Kaharoa Road,Patea,
1811120,3295,Kaharoa Road,Waitetuna,Raglan
1796620,4691,Kaha Street,Rangataua,Ohakune
3080700,3173,Kahawai Close,Pyes Pa,Tauranga
3079510,3114,Kahawai Place,Omokoroa,
1844115,2571,Kahawairahi Drive,Beachlands,Auckland
1803059,4198,Kahawai Street,Mahia,
1834248,0792,Kahia Lane,Redvale,Auckland
1792202,5022,Kahika Grove,"Elsdon,Takapuwahia",Porirua
3073303,0810,Kahika Grove,Huapai,Kumeu
3081969,8025,Kahika Lane,Westmorland,Christchurch
3028085,0626,Kahika Road,"Birkdale,Waitemata Harbour",Auckland
3028084,4181,Kahika Road,"Putorino,Tutira","Kotemaori,Napier"
1773011,9082,Kahika Street,Aramoana,Port Chalmers
3069515,7281,Kahikatea Bay,"Curious Cove,Kahikatea Bay,Whatamango Bay",Picton
