road_id,postcode,name,locality,city
3081617,5014,Laban Place,Wainuiomata,Lower Hutt
3079988,0616,La Bella Road,Hobsonville,Auckland
1805825,3116,Laburnum Glen,Mount Maunganui,
1793181,5010,Laburnum Grove,Maungaraki,Lower Hutt
1798273,5036,Laburnum Grove,Waikanae,
1824474,0600,Laburnum Road,"New Windsor,Wesley",Auckland
1789469,7183,Labyrinth Lane,Takaka,
1829538,0604,Lacebark Court,Titirangi,Auckland
1842482,3377,Lacebark Drive,Kinloch,Taupo
1839221,4472,Lacebark Drive,Linton,Palmerston North
1785580,8052,Lacebark Lane,Northcote,Christchurch
1789853,7173,Lacebark Lane,Upper Moutere,
1989712,0295,Lacebark Lane,Waipapa,
1841734,6037,Lacebark Lane,Woodridge,Wellington
1778997,8971,Lachie Griffen Rise,Governors Bay,
1837131,9382,Lachlan Avenue,Hawea Flat,Lake Hawea
1774919,9016,Lachlan Avenue,"Maori Hill,North Dunedin",Dunedin
1808794,3116,Lachlan Avenue,Mount Maunganui,
1807348,3204,Lachlan Drive,Dinsdale,Hamilton
1828284,2024,Lachlan Place,Favona,Auckland
1781754,7910,Lachlan Place,Marchwiel,Timaru
1779502,7920,Lachlan Street,Temuka,
3078898,0981,Lachlan Thompson Drive,Warkworth,
1813998,3110,La Colina Place,Bethlehem,Tauranga
1779013,8081,La Costa Lane,Mount Pleasant,Christchurch
1813999,3110,La Cuesta Close,Bethlehem,Tauranga
1813997,3110,La Cumbre Close,Bethlehem,Tauranga
3084101,7614,Lacuna Place,Rolleston,
1785315,7610,Lacy Gate Place,Woodend,
1784455,8052,Ladbrokes Place,Fendalton,Christchurch
1794568,6037,Ladbrooke Drive,Newlands,Wellington
1838215,7020,Ladbrook Lane,Richmond,
1778608,9791,Ladbrook Road,Dipton,
1825675,1081,Ladd Road,Ostend,Waiheke Island
3014003,3206,Ladeira Place,Fitzroy,Hamilton
1814000,3110,Ladera Mews,Bethlehem,Tauranga
3054545,,Ladies Mile,"Ellerslie,Remuera",Auckland
1821103,0930,Ladies Mile,Manly,Whangaparaoa
1777775,9672,Ladies Mile,Te Anau,
1789205,7197,Lady Barkly Grove,Kaiteriteri,Motueka
1777451,9782,Lady Barkly Road,Winton,
1792879,5013,Lady Bell Grove,Lowry Bay,Lower Hutt
3078725,0616,Ladybird Lane,Hobsonville,Auckland
3081456,7674,Ladybridge Drive,Rolleston,
3017007,9774,Lady Charlton Road,"Upper Charlton,Waimumu",Gore
1791300,7281,Lady Cobham Grove,Anakiwa,Linkwater
3079007,6011,Lady Elizabeth Lane,"Pipitea,Wellington Central",Wellington
3083045,9371,Lady Fayre Drive,Arrowtown,
1837516,2013,Lady Fisher Place,East Tamaki,Auckland
3080398,7615,Lady Isaac Drive,Rolleston,
1842127,8052,Lady Isaac Way,Mairehau,Christchurch
3077482,3510,Lady Jocelyn Place,Whitianga,
1829542,2010,Lady Marie Drive,Pakuranga Heights,Auckland
3080747,2112,Lady McKenzie Mews,Takanini,Auckland
1787719,8025,Lady Nugent Lane,Halswell,Christchurch
1785709,8022,Lady Polson Lane,Cashmere,Christchurch
1828273,2013,Lady Ruby Drive,East Tamaki,Auckland
1817397,4322,Ladys Mile,Eltham,
1797969,4814,Ladys Mile,Foxton,
1771223,9571,Ladysmith Road,Roxburgh East,Roxburgh
1803860,4104,Ladywood Road,Bay View,Napier
1793184,5010,Laery Street,Melling,Lower Hutt
1814401,3200,Lafferty Street,Maeroa,Hamilton
3079660,7604,La Fontaine Place,Prebbleton,
1790482,7884,La Fontaine Road,Harihari,
3083136,9382,Lafranchi Lane,Cardrona,Wanaka
1784449,8051,Lagan Street,Belfast,Christchurch
1776247,9814,Lagan Street,Bluff,
1792229,5026,Lagden Street,Camborne,Porirua
1780800,7700,Lagmhor Road,Tinwald,Ashburton
1942899,0632,Lagonda Rise,Oteha,Auckland
1771789,9305,Lagoon Avenue,Albert Town,Wanaka
1777778,9672,Lagoon Creek Road,"Hillside,The Key","Manapouri,Te Anau"
1838476,7971,Lagoon Drive,Normanby,Timaru
1825883,1072,Lagoon Drive,Panmure,Auckland
1795550,5782,Lagoon Hill Road,Tuturumuri,Martinborough
1808937,3112,Lagoon Place,Poike,Tauranga
1810354,3096,Lagoon Road,Hamurana,
3051627,7805,Lagoon Road,Paroa,Greymouth
3051628,7220,Lagoon Road,"Picton,Shakespeare Bay",Picton
1797349,4774,Lagoon Road,Rangiwahia,Kimbolton
1821113,0874,Lagoon Road,Woodhill Forest,South Head
1788861,7183,Lagoon Street,Torrent Bay,Takaka
1840824,9382,Lagoon Valley Road,Hawea Flat,Lake Hawea
1830157,0930,Lagoon View,Gulf Harbour,Whangaparaoa
1829982,0986,Lagoon Way,Omaha,
1823417,0618,Lagoon Way,West Harbour,Auckland
3078669,7020,Lago Way,Richmond,
1787684,8052,Laguna Gardens,Shirley,Christchurch
1813581,3118,Laguna Key,Papamoa Beach,Papamoa
3017979,0930,Laguna Place,Matakatia,Whangaparaoa
1803080,4108,Lahore Street,Wairoa,
1832765,2019,Laidlaw Way,East Tamaki,Auckland
1794578,6012,Laidlaw Way,Karori,Wellington
1787320,7482,Laidmore Road,Broomfield,
1821104,0985,Laika Avenue,Ti Point,Leigh
3084737,0814,Laine Tipi Avenue,Westgate,Auckland
1804931,4130,Laing Cove,Havelock North,
1783829,8022,Laing Crescent,Heathcote Valley,Christchurch
1831332,0604,Laingfield Terrace,Laingholm,Auckland
3024084,0604,Laingholm Drive,"Laingholm,Titirangi",Auckland
1800800,4826,Laing Lane,Waiouru,
1808944,3110,Laing Place,Otumoetai,Tauranga
1829751,0604,Laingrange Place,Laingholm,Auckland
1771330,9391,Laing Road,Earnscleugh,Alexandra
1827201,2580,Laing Road,Karaka,Papakura
1828276,2012,Laings Road,Bucklands Beach,Auckland
1793179,5010,Laings Road,"Hutt Central,Woburn",Lower Hutt
1787804,7775,Laings Road,Tinwald,Ashburton
1772033,9012,Laing Street,Caversham,Dunedin
1775690,9024,Laing Street,Mosgiel,
1772864,9023,Laing Street,Port Chalmers,Dunedin
1840475,3800,Laird Place,Te Awamutu,
1780659,7618,Laird Place,West Melton,
1797002,4501,Laird Street,Castlecliff,Whanganui
3041816,7274,Laird Street,Witherlea,Blenheim
1805965,3920,Lairdvale Road,Taumarunui,
1837237,7999,Lake Alexandrina Road,Tekapo,Lake Tekapo
1837236,7999,Lake Alexandrina South Road,Tekapo,Lake Tekapo
3061501,4894,Lake Alice Road,Lake Alice,Bulls
3000368,3481,Lake Arapuni Road,"Arapuni,Waotu",Putaruru
1790410,7881,Lake Arthur Road,Kokatahi,
1774852,9300,Lake Avenue,Frankton,Queenstown
1841977,8083,Lakebridge Place,Parklands,Christchurch
1790764,,Lake Brunner Road,"Inchbonnie,Jacksons,Moana","Inchbonnie,Moana"
3080692,8053,Lake Bryndwr Lane,Burnside,Christchurch
1813601,3579,Lake Court,Pauanui,
1807350,3204,Lake Crescent,Hamilton Lake,Hamilton
1788527,7110,Lake Crescent,Takaka,
3083480,3330,LakeCrest Avenue,"Richmond Heights,Wharewaka",Taupo
