road_id,postcode,name,locality,city
1827795,2110,Maadi Place,Papakura,
1792829,5019,Maadi Place,Silverstream,Upper Hutt
1805655,4110,Maadi Road,Onekawa,Napier
1833780,3200,Maahanga Drive,Northgate,Hamilton
1813787,3200,Maahutaupeke Place,St Andrews,Hamilton
3059274,1072,Maaka Place,Saint Johns,Auckland
3080783,3210,Maanihi Drive,Rototuna North,Hamilton
3082389,2578,Maanuka Avenue,Karaka,Papakura
3081682,3118,Maara Close,Papamoa Beach,Papamoa
1793881,6021,Maarama Crescent,"Aro Valley,Brooklyn",Wellington
1812928,4392,Maarama Terrace,Puniwhakau,Stratford
3082516,9382,Maas Way,Lake Hawea,
3081091,3225,Maataitai Road,Raglan,
1809479,4398,Maata Road,"Eltham,Maata,Rawhitiroa",Eltham
1813218,3920,Maata Street,Taumarunui,
1830489,0883,Mabbett Lane,Waimauku,
3083450,8025,Mabel Crescent,Halswell,Christchurch
1839610,9872,Mabel Grove Bush Road East,Mabel Bush,Invercargill
3010840,9876,Mabel Grove Bush Road West,"Grove Bush,Mabel Bush,Makarewa",Invercargill
1786592,8061,Mabel Howard Place,Avonside,Christchurch
1798524,5510,Mabel Street,Levin,
1788997,7873,Mabel Street,Punakaiki,
1804852,4920,Mabel Street,Woodville,
1820559,0420,Mabel Thorburn Place,Mangonui,
1839611,9872,Mabel Woodstock Road,Mabel Bush,Invercargill
3067264,4598,Maben Road,"Hurleyville,Lake Rotorangi,Matemateaonga,Patea","Eltham,Patea"
1781256,7971,Maberley Street,Normanby,Timaru
1811681,3300,Maber Place,Morrinsville,
1784403,7692,Mabers Road,Clarkville,Kaiapoi
1793001,5011,Mabey Road,Avalon,Lower Hutt
3005859,0991,Mabey Road,Great Barrier Island (Aotea Island),
1817347,4322,Mabey Street,Eltham,
1807395,3206,Mabian Crescent,Deanwell,Hamilton
1830078,0932,Mably Court,Stanmore Bay,Whangaparaoa
1795131,5810,Mabson Terrace,Masterton,
1829351,2105,Macadamia Close,Goodwood Heights,Auckland
3006073,0295,Macadamia Lane,Waipapa,
1776782,9876,MacAdam Road,Grove Bush,Invercargill
3023052,9794,MacAle Road,Longridge North,Riversdale
1778482,9892,MacAle Road,Mokoreta,Wyndham
1799795,6022,MacAlister Place,Miramar,Wellington
1833629,9014,Macandrew Bay School Road,Macandrew Bay,Dunedin
1851175,9305,MacAndrew Lane,Wanaka,
1772852,9023,Macandrew Road,"Careys Bay,Port Chalmers",Dunedin
3039898,9012,Macandrew Road,"Forbury,South Dunedin",Dunedin
1773582,9220,MacAndrew Street,Milton,
1777591,9610,MacAndrew Street,Otautau,
1773900,9535,MacAndrew Street,Owaka,
1804851,4920,MacAndrew Street,Woodville,
1786595,8024,Macann Lane,Spreydon,Christchurch
1795134,5810,Macara Street,Masterton,
1801475,4900,MacAra Street,Eketahuna,
1813816,3210,MacArthur Mews,Rototuna,Hamilton
1790561,7881,MacArthur Road,Kokatahi,
1797219,4702,MacArthur Street,Feilding,
1798522,5510,MacArthur Street,Levin,
1836048,8025,Macartney Avenue,Halswell,Christchurch
3045691,7672,MacArtneys Road,"Lincoln,Tai Tapu",
1786532,7901,MacAulay Place,Twizel,
1775429,9494,MacAulay Road,Awamoko,Oamaru
