road_id,postcode,name,locality,city
1839450,8025,Nabob Lane,Cracroft,Christchurch
3049997,8042,Nacelle Road,Wigram,Christchurch
1832639,1026,Nacton Lane,Avondale,Auckland
1793997,6035,Nadia Grove,Khandallah,Wellington
1828193,2022,Nadine Place,Mangere Bridge,Auckland
1837157,4312,Nadine Stanton Drive,Bell Block,New Plymouth
1832759,2016,Nad Place,East Tamaki Heights,Auckland
1791977,5011,Naenae Road,Naenae,Lower Hutt
1801071,4988,Naenae Road,Pahiatua,
1955003,3118,Naeo Close,Papamoa Beach,Papamoa
1810461,3010,Naera Place,Kawaha Point,Rotorua
1814122,3493,Nagar Lane,Cambridge,
3031863,0991,Nagle Cove,"Great Barrier Island (Aotea Island),Nagle Cove",Great Barrier Island (Aotea Island)
1833315,2013,Nagle Place,Golflands,Auckland
1793969,6035,Nagpur Terrace,Broadmeadows,Wellington
3080107,2110,Nagra Lane,Papakura,
1811243,2474,Naho Place,Meremere,Mercer
1806921,3600,Nahum Street,Paeroa,
1799355,4412,Nairn Crescent,Awapuni,Palmerston North
1832186,2023,Nairn Place,Otara,Auckland
1827328,2583,Nairn Road,Hunua,
1810462,3015,Nairn Road,Mangakakahi,Rotorua
1783673,8024,Nairn Street,"Addington,Spreydon",Christchurch
1775456,9302,Nairn Street,Arrowtown,
1774025,9591,Nairn Street,Beaumont,Lawrence
1793987,6011,Nairn Street,"Brooklyn,Mount Cook",Wellington
1777444,9875,Nairn Street,Fortrose,Tokanui
1772447,9010,Nairn Street,"Kaikorai,Wakari",Dunedin
1772831,9024,Nairn Street,Mosgiel,
1773085,9510,Nairn Street,Waikouaiti,
1773374,9230,Naish Street,Balclutha,
3083771,7630,Naish Street,Kaiapoi,
3079730,3210,Naismith Street,Chartwell,Hamilton
3084611,7183,Nakahi Lane,Pohara,Takaka
1829890,2105,Nakhle Place,Manurewa,Auckland
1803107,4189,Nakis Road,Mohaka,Wairoa
1793970,6022,Nakora Road,Karaka Bays,Wellington
1800416,6035,Nalanda Crescent,Broadmeadows,Wellington
1783663,8062,Nalder Place,Linwood,Christchurch
1777450,9877,Nally Road,Waimatua,Invercargill
1774687,9495,Nalsoe Street,Herbert,
3068655,1061,Namata Road,"One Tree Hill,Onehunga",Auckland
1840043,0632,Namsan Close,"Fairview Heights,Redvale",Auckland
3083818,3330,Namu Place,Richmond Heights,Taupo
1797941,4982,Namu Road,Mangatainoka,Pahiatua
1817314,4681,Namu Road,Opunake,
1790218,7805,Nancarrow Street,Greymouth,
2009572,7272,Nanchang Road,Burleigh,Blenheim
1842405,8025,Nancorne Lane,Halswell,Christchurch
1797293,4702,Nancy Avenue,Feilding,
1783677,,Nancy Avenue,Mairehau,Christchurch
3022506,9305,Nancy Lane,Wanaka,
1787545,9310,Nancy Place,Cromwell,
1804392,4203,Nancy Street,Takapau,
1841738,0420,Nancy Wake Place,Cable Bay,
3080418,7615,Nancy Wake Street,Rolleston,
2013503,2112,Nancy Wake Street,Takanini,Auckland
1822783,0602,Nandana Drive,Glen Eden,Auckland
3080811,6035,Nanda Way,Khandallah,Wellington
3078140,0612,Nandi Lane,Ranui,Auckland
1828171,2013,Nandina Avenue,East Tamaki,Auckland
1818520,2120,Nandina Lane,Pukekohe,
3082134,8025,Nandura Place,Wigram,Christchurch
1784657,8041,Nanette Street,Upper Riccarton,Christchurch
1989136,2120,Nanjing Road,Pukekohe,
1835293,2105,Nanleen Rise,Manurewa,Auckland
1797621,4775,Nannestads Line,Bunnythorpe,Palmerston North
1828194,2010,Nan Place,Pakuranga Heights,Auckland
1808364,3186,Nanric Lane,Pukehina,
1798352,5510,Nansen Place,Levin,
1787919,7891,Nansen Street,Millerton,Westport
1773068,9596,Nant Road,Ngapuna,Middlemarch
1777738,9610,Nantwich Street,Otautau,
1835225,3434,Naomi Place,Cambridge,
1828188,2102,Naomi Place,Manurewa,Auckland
1805287,4110,Naomi Street,Westshore,Napier
1832467,2016,Napa Court,Shamrock Park,Auckland
1779710,7383,Napenape Road,Domett,
1822333,0622,Napier Avenue,Takapuna,Auckland
1841430,8042,Napier Drive,Wigram,Christchurch
1801121,5036,Napier Grove,Waikanae Beach,Waikanae
1823949,1011,Napier Lane,Freemans Bay,Auckland
1775357,9495,Napier Place,Kakanui,Oamaru
3044263,,Napier Road,"Aokautere,Ashhurst,Ballance,Kelvin Grove,Papatawa,Roslyn,Terrace End,Whakarongo,Woodville","Aokautere,Ashhurst,Pahiatua,Palmerston North,Woodville"
3044261,,Napier Road,"Havelock North,Mangateretere","Hastings,Havelock North"
1812601,3330,Napier Road,"Hilltop,Maunganamu,Waipahihi",Taupo
1772459,9011,Napier Street,Belleknowes,Dunedin
1770650,9491,Napier Street,Enfield,Oamaru
1823953,1011,Napier Street,Freemans Bay,Auckland
1818303,4610,Napier Street,Hawera,
1803844,4112,Napier Street,Jervoistown,Napier
1793985,6022,Napier Street,Karaka Bays,Wellington
1787920,7891,Napier Street,Millerton,Westport
1817315,4616,Napier Street,Opunake,
1781884,7910,Napier Street,Parkside,Timaru
1777739,9822,Napier Street,Riverton/Aparima,
3008176,4110,Napier Terrace,"Bluff Hill,Hospital Hill",Napier
1810738,3981,Napinapi Road,Te Mapara,Te Kuiti
1795680,5711,Naples Street,Martinborough,
1800683,0632,Naples Way,Albany Heights,Auckland
1822328,0620,Napoleon Avenue,Milford,Auckland
1787631,8051,Napoleon Close,Harewood,Christchurch
1790066,7871,Napoleon Street,Ahaura,
1838387,7010,Napoli Way,The Wood,Nelson
3081665,3214,Napper Drive,Chartwell,Hamilton
3081272,8025,Napper Place,Halswell,Christchurch
1823230,0612,Napuka Road,Henderson Valley,Auckland
1828179,2025,Narada Place,Papatoetoe,Auckland
1793981,6035,Narbada Crescent,Khandallah,Wellington
1828175,2104,Narek Place,Manukau,Auckland
3046926,9291,Narrowdale Road,"Akatore,Milburn",Milton
3069399,5371,Narrow Neck Road,"Mangaroa,Whitemans Valley",Upper Hutt
1815940,3283,Narrows Lane,Tamahere,Hamilton
1813010,3282,Narrows Road,Rukuhia,Hamilton
1793449,5014,Naseby Grove,Wainuiomata,Lower Hutt
1838069,9396,Naseby Link Road,Naseby,
1783664,8014,Naseby Street,Merivale,Christchurch
1837402,7011,Nashi Place,Stoke,Nelson
1798599,4815,Nash Parade,Foxton Beach,Foxton
1800598,5810,Nash Place,Masterton,
1784081,8025,Nash Road,Aidanfield,Christchurch
3024166,4391,Nash Road,"Cardiff,Stratford",Stratford
1825239,1041,Nash Road,Mount Roskill,Auckland
1819218,0372,Nash Road,Tangowahine,Dargaville
1804010,4110,Nash Street,Marewa,Napier
1816766,4310,Nash Street,Marfell,New Plymouth
1801297,4410,Nash Street,Palmerston North,
1793129,5011,Nash Street,Taita,Lower Hutt
1770647,9495,Nasmyth Street,Kakanui,Oamaru
1793978,5028,Nassau Avenue,Grenada North,Wellington
1828172,2012,Nassau Court,Half Moon Bay,Auckland
1837514,2013,Nassipour Way,East Tamaki,Auckland
1784658,8051,Natalie Place,Harewood,Christchurch
1828174,2023,Natalie Place,Otara,Auckland
1791678,7201,Natalie Place,Witherlea,Blenheim
1788260,7010,Natalie Street,Toi Toi,Nelson
1793986,6012,Natalie Way,Karori,Wellington
1809636,3120,Natana Place,Whakatane,
1832685,0612,Natasha Lane,Henderson,Auckland
3078942,9371,Nathanael Place,Drift Bay,Queenstown
1796182,5032,Nathan Avenue,Paraparaumu Beach,Paraparaumu
1832485,2014,Nathan Close,Somerville,Auckland
3081582,7610,Nathaniel Archer Street,Woodend,
3082626,5888,Nathan Lane,Masterton,
1808362,3177,Nathan Place,Athenree,Waihi Beach
1800709,4478,Nathan Place,Bunnythorpe,Palmerston North
1784662,8051,Nathan Place,Harewood,Christchurch
1817542,3114,Nathan Place,Omokoroa,
1799366,4412,Nathan Place,West End,Palmerston North
1830655,0573,Nathan Road,Kaiwaka,
1819219,0376,Nathans Road,Waipoua,Aranga
1796834,4501,Nathan Street,Springvale,Whanganui
1791546,5028,Nathan Street,Tawa,Wellington
1772449,9085,Nathan Street,Upper Junction,Dunedin
1798252,4821,Nathan Terrace,Shannon,
1783680,8011,National Mutual Arcade,Christchurch Central,Christchurch
3082660,7832,National Street,Kumara,Greymouth
1808159,2696,Native Road,Pukekawa,
1805900,3216,Natland Street,Hamilton East,Hamilton
1792281,5024,Natone Street,Waitangirua,Porirua
1813585,3112,Nature Place,Greerton,Tauranga
1793131,5010,Natusch Road,Belmont,Lower Hutt
1825625,1081,Natzka Road,Ostend,Waiheke Island
1781424,7975,Naughton Road,Kerrytown,Timaru
1793979,6022,Naughton Terrace,Kilbirnie,Wellington
1832789,2016,Naul Place,East Tamaki Heights,Auckland
1801711,4586,Naumai Crescent,Mangamahu,Whanganui
1788800,7022,Naumai Place,Brightwater,
1816760,4310,Naumai Place,Spotswood,New Plymouth
1821346,0984,Naumai Road,Tauhoa,Wellsford
3084951,2582,Nau Mai Road,Clevedon,Clevedon
