road_id,postcode,name,locality,city
1821618,0881,Oaia Road,Muriwai,
1781118,7782,Oak Avenue,Barrhill,Lauriston
1807496,3200,Oak Avenue,Nawton,Hamilton
1792293,5024,Oak Avenue,Paremata,Porirua
1808669,0632,Oak Bark Drive,Schnapper Rock,Auckland
3063362,5036,Oak Bay,Waikanae,
3082669,8051,Oakbridge Boulevard,Marshland,Christchurch
3084227,7020,Oakbridge Way,Richmond,
1796329,4810,Oak Crescent,Ashhurst,
1930706,3377,Oakdale Drive,Kinloch,Taupo
3080863,7020,Oakdale Grove,Richmond,
1825381,1041,Oakdale Road,Mount Roskill,Auckland
1787009,8042,Oakdale Street,Avonhead,Christchurch
1780375,7510,Oakden Drive,Darfield,
1842296,8025,Oakdene Place,Halswell,Christchurch
1808357,3188,Oak Drive,Rangiuru,Te Puke
1815714,3384,Oak Drive,Wairakei,Taupo
1839100,4702,Oakeley Rise,Feilding,
1825037,1025,Oakfield Avenue,Mount Albert,Auckland
1837956,3400,Oakfield Close,Matamata,
1807497,3200,Oakfield Crescent,Pukete,Hamilton
1784860,8053,Oakfield Street,Burnside,Christchurch
1785946,8011,Oakford Close,Riccarton,Christchurch
1829923,0632,Oakford Park Crescent,Greenhithe,Auckland
3002089,7700,Oak Grove,"Allenton,Ashburton",Ashburton
1809170,3112,Oak Grove,Hairini,Tauranga
1793614,6011,Oak Grove,Mount Cook,Wellington
1825934,1062,Oak Grove,Otahuhu,Auckland
1839052,7400,Oakgrove Drive,Rangiora,
1783939,8042,Oakhampton Street,Hornby,Christchurch
1770614,9410,Oakham Street,Hampden,
1832459,0612,Oakhaven Place,Ranui,Auckland
3083412,0620,Oakheart Way,Forrest Hill,Auckland
3084226,7020,Oakhill Lane,Richmond,
1840443,2019,Oakhurst Avenue,Flat Bush,Auckland
1784851,8042,Oakhurst Place,Russley,Christchurch
1829519,2025,Oakland Avenue,Papatoetoe,Auckland
1800896,4500,Oakland Avenue,Saint Johns Hill,Whanganui
1825982,0110,Oakland Avenue,Woodhill,Whangarei
1841516,4474,Oakland Lane,Shannon,
1839485,3010,Oakland Place,Ngongotaha,Rotorua
1827006,2580,Oakland Road,Karaka,Papakura
1777530,9891,Oakland Road,Mataura Island,Wyndham
1814136,3434,Oaklands Drive,Cambridge,
1792565,5018,Oaklands Grove,"Clouston Park,Kingsley Heights",Upper Hutt
1829671,0632,Oaklands Road,Albany,Auckland
1785616,7776,Oaklands Road,Lauriston,
1818906,1024,Oaklands Road,Mount Eden,Auckland
1771889,9013,Oakland Street,Andersons Bay,Dunedin
1776047,9712,Oakland Street,Mataura,
1784852,8052,Oakland Street,Northcote,Christchurch
1813383,3112,Oakland Way,Welcome Bay,Tauranga
1839990,0793,Oak Lane,Coatesville,
1813333,3110,Oak Lane,Judea,Tauranga
1815828,3802,Oak Lane,Pirongia,
3081939,9305,Oak Lane,Wanaka,
1839188,4710,Oaklea Avenue,Marton,
1830439,2110,Oakleaf Drive,Papakura,
3081426,3377,Oakleaf Lane,Kinloch,Taupo
1813480,3283,Oaklea Lane,Tamahere,Hamilton
1832168,2112,Oakleigh Avenue,Takanini,Auckland
1770308,9400,Oakleigh Crescent,Oamaru North,Oamaru
1840358,0171,Oakleigh Rise,Oakleigh,Whangarei
1773678,9273,Oakleigh Road,Clifton,Balclutha
1801573,5010,Oakleigh Street,Maungaraki,Lower Hutt
3081534,7610,Oakleigh Street,Woodend,
3048664,0171,Oakleigh Wharf Road,Oakleigh,Whangarei
1807498,3214,Oakley Avenue,Claudelands,Hamilton
3081101,7201,Oakley Avenue,Springlands,Blenheim
1824581,1026,Oakley Avenue,Waterview,Auckland
1796003,5032,Oakley Court,Paraparaumu Beach,Paraparaumu
1783930,8042,Oakley Crescent,Hornby,Christchurch
1806369,3500,Oakley Crescent,Thames,
1842422,7604,Oakley Drive,Prebbleton,
3082796,7020,Oakley Lane,Appleby,Richmond
1781113,7775,Oakleys Road,Mayfield,Ashburton
1797776,4410,Oakley Street,Palmerston North,
1832656,0632,Oak Manor Drive,Albany,Auckland
3083417,8051,Oakmill Drive,Casebrook,Christchurch
1801506,5018,Oakmont,Heretaunga,Upper Hutt
3077985,4312,Oakmont Crescent,Waiwhakaiho,New Plymouth
1785713,8061,Oakmont Green,Shirley,Christchurch
1813648,3210,Oakmont Place,Rototuna,Hamilton
1827666,2103,Oakmont Place,Wattle Downs,Auckland
1793626,6011,Oak Park Avenue,Te Aro,Wellington
1823083,0618,Oakpark Place,West Harbour,Auckland
1781885,7910,Oak Place,Gleniti,Timaru
1809024,4610,Oak Place,Hawera,
3083061,5510,Oak Place,Levin,
1775580,9024,Oak Place,Mosgiel,
1786092,4112,Oak Place,Poraiti,Napier
1812167,3420,Oak Place,Tokoroa,
1809783,3120,Oak Place,Whakatane,
1832951,0230,Oakridge Drive,Kerikeri,
3077588,3800,Oak Ridge Drive,Te Awamutu,
1813615,3210,Oakridge Grove,Flagstaff,Hamilton
3079119,3375,Oakridge Place,Morrinsville,
1813830,3110,Oakridge Place,Tauriko,Tauranga
3081613,3772,Oakridge Rise,Rangiriri,Te Kauwhata
1783931,8025,Oakridge Street,Halswell,Christchurch
1832079,2013,Oakridge Way,Northpark,Auckland
3084097,9879,Oakridge Way,Otatara,Invercargill
3084562,0230,Oak Rise,Kerikeri,
1833264,0985,Oak River Drive,Warkworth,
1803256,4122,Oak Road,Akina,Hastings
1802697,4112,Oak Road,Poraiti,Napier
1828096,2104,Oak Road,Wiri,Auckland
1853159,7608,Oaks Drive,Lincoln,
1813023,3876,Oakshott Road,Ngahinapouri,Ohaupo
1780808,7120,Oaks Lane,Motueka,
1837953,3320,Oaks Place,Te Aroha,
1826817,0178,Oaks Road,"Otaika,Portland",Whangarei
1792564,5018,Oak Street,Ebdentown,Upper Hutt
1802051,4010,Oak Street,Mangapapa,Gisborne
1794964,5810,Oak Street,Masterton,
1811688,3300,Oak Street,Morrinsville,
1809395,3025,Oak Street,Murupara,
1781608,7992,Oak Street,Orari,Temuka
1825382,1023,Oak Street,Royal Oak,Auckland
1827514,2121,Oak Street,Tuakau,
1782637,8023,Oak Street,Woolston,Christchurch
1821900,0630,Oaktree Avenue,"Browns Bay,Pinehill",Auckland
1785767,8053,Oaktree Lane,Bishopdale,Christchurch
1838664,3210,Oaktree Lane,Flagstaff,Hamilton
1785846,7400,Oak Tree Lane,Rangiora,
1812657,7204,Oak Tree Lane,Renwick,
1787569,7614,Oak Tree Lane,Rolleston,
3084019,0295,Oak Tree Lane,Waipapa,
3082264,5024,Oakum Road,Whitby,Porirua
1826816,0184,Oakura Road,Oakura,Hikurangi
3083518,8025,Oakvale Lane,Halswell,Christchurch
1945375,0792,Oak Valley Road,Dairy Flat,
1939312,7334,Oakview Close,Hanmer Springs,
1787164,8022,Oakview Lane,Cashmere,Christchurch
2013415,3400,Oakview Lane,Matamata,
1791839,5712,Oak View Place,Greytown,
1815671,3287,Oak View Place,Newstead,Hamilton
1834829,0632,Oak View Terrace,Schnapper Rock,Auckland
1837787,2016,Oakville Avenue,Flat Bush,Auckland
3081539,7400,Oakville Close,Rangiora,
1833001,0632,Oakway Drive,Schnapper Rock,Auckland
3007006,9011,Oakwood Avenue,"Balaclava,Maryhill",Dunedin
1838665,4312,Oakwood Drive,Highlands Park,New Plymouth
1838638,7400,Oakwood Drive,Rangiora,
1836081,2012,Oakwood Grove,Eastern Beach,Auckland
1800741,5032,Oakwood Grove,Paraparaumu Beach,Paraparaumu
1836640,7201,Oakwood Lane,Witherlea,Blenheim
1803672,7604,Oakwood Mews,Prebbleton,
1830352,2120,Oakwood Place,Pukekohe,
1947318,3283,Oakwood Place,Tamahere,Hamilton
1774322,9305,Oakwood Place,Wanaka,
1836790,0176,Oakwood Rise,Ngararatunua,Whangarei
3062360,7974,Oakwood Road,"Gleniti,Hadlow",Timaru
1839426,3118,Oakwood Way,Papamoa Beach,Papamoa
3012678,9491,Oamaru-Alma Road,"Alma,Deborah,Holmes Hill",Oamaru
1770099,9492,Oamaru Creek Road,"Airedale,Rosebery",Oamaru
1816497,4387,Oapui Road,Tarata,
1835996,8083,Oasis Grove,Parklands,Christchurch
1814912,3010,Oasis Place,Ngapuna,Rotorua
3081690,5712,Oates Place,Greytown,
1822798,0602,Oates Road,Glen Eden,Auckland
1802770,4010,Oates Street,Elgin,Gisborne
1771892,9010,Oates Street,Kaikorai,Dunedin
1842983,7608,Oates Street,Lincoln,
1800281,5019,Oates Street,Stokes Valley,Lower Hutt
1816577,4310,Oawai Place,Marfell,New Plymouth
1807499,3206,Oban Avenue,Glenview,Hamilton
1797830,4412,Oban Place,Awapuni,Palmerston North
1800610,5810,Oban Place,Masterton,
1776621,9812,Oban Place,Rockdale,Invercargill
1782630,8062,Oban Place,Woolston,Christchurch
3063676,0630,Oban Road,Browns Bay,Auckland
1809168,3112,Oban Road,Greerton,Tauranga
1831544,1022,Oban Road,Westmere,Auckland
1803258,4120,Oban Street,Flaxmere,Hastings
1771756,9372,Oban Street,Glenorchy,
