road_id,postcode,name,locality,city
3081964,3118,Paaka Lane,Papamoa Beach,Papamoa
3084683,3010,Paakau Street,Owhata,Rotorua
1840232,7178,Paakohe Heights,Kaiuma Bay,Havelock
1808471,3172,Paama Court,Matakana Island,
3083212,2112,Paapaakiri Loop,Takanini,Auckland
3082387,2123,Paapaka Way,Waiuku,
3084183,3118,Paapori Close,Papamoa Beach,Papamoa
3080833,3710,Pa Ariki Road,Te Kauwhata,
3084122,3288,Paataka Lane,Horotiu,Hamilton
1783774,8025,Pablo Place,Hoon Hay,Christchurch
1789354,7095,Pab Road,Belgrove,Wakefield
3082422,8042,Pacers Lane,Yaldhurst,Christchurch
1817435,4610,Pacey Avenue,Hawera,
1808758,3116,Pacific Avenue,Mount Maunganui,
1776659,9879,Pacific Avenue,Oreti Beach,Invercargill
3065927,4112,Pacific Avenue,"Poraiti,Tamatea",Napier
1826718,0173,Pacific Bay Road,Tutukaka,Whangarei
1770924,0930,Pacific Cliffs Drive,Gulf Harbour,Whangaparaoa
1815502,3118,Pacific Cove Drive,Papamoa Beach,Papamoa
3080249,2104,Pacific Daisy Lane,Wiri,Auckland
1791765,4410,Pacific Drive,Fitzherbert,Palmerston North
1785740,7683,Pacific Drive,Southbridge,
1806395,3508,Pacific Drive,Tairua,
1838700,2104,Pacific Events Centre Drive,Wiri,Auckland
3079674,0931,Pacific Heights Road,Orewa,
3036433,3506,Pacific Ocean,Great Mercury Island (Ahuahu),
3036432,3579,Pacific Ocean,Slipper Island (Whakahau),Hikuai
1820750,0930,Pacific Parade,Army Bay,Whangaparaoa
1809459,3120,Pacific Parade,Coastlands,Whakatane
1813603,3592,Pacific Parade,Matarangi,Whitianga
1825716,1081,Pacific Parade,"Oneroa,Surfdale",Waiheke Island
1838484,3118,Pacific Park Way,Papamoa Beach,Papamoa
1824427,1010,Pacific Place,Auckland Central,Auckland
1796715,4500,Pacific Place,Gonville,Whanganui
1836727,3510,Pacific Place,Whitianga,
1808322,0173,Pacific Ridge,Tutukaka,Whangarei
1827444,1060,Pacific Rise,Mount Wellington,Auckland
1820753,0975,Pacific Road,Mangawhai,
3060507,8083,Pacific Road,North New Brighton,Christchurch
1808095,3611,Pacific Road,Waihi Beach,
1802130,4071,Pacific Street,Awapuni,Gisborne
1772536,9010,Pacific Street,Roslyn,Dunedin
1781896,7910,Pacific Street,Waimataitai,Timaru
1827570,2123,Pacific Street,Waiuku,
1840558,5024,Pacific View,Whitby,Porirua
1813690,3620,Pacific View Drive,Whangamata,
1808473,3118,Pacific View Road,Papamoa Beach,Papamoa
1859644,8025,Packard Crescent,Halswell,Christchurch
1788551,7183,Packard Road,Motupipi,Takaka
1820384,0483,Packard Road,Taipa,
1819789,0281,Packer Road,Moerewa,
3084176,8051,Packers Lane,Belfast,Christchurch
1790221,7805,Packers Quay,Blaketown,Greymouth
3037505,7980,Packers Road,Waimate,
3028983,8013,Packe Street,"Christchurch Central,Edgeware",Christchurch
3057632,7011,Packham Crescent,Stoke,Nelson
1821709,0626,Packham Place,Beach Haven,Auckland
3079541,9371,Packhorse Lane,Arthurs Point,Queenstown
3084664,9382,Packhouse Drive,Wanaka,Wanaka
1837548,2016,Packspur Drive,Flat Bush,Auckland
1795163,5889,Pack Spur Road,"Mataikona,Tinui Valley",Tinui
1815504,3577,Packtrack Road,Thames,
1793841,6012,Paddington Grove,Karori,Wellington
1824426,1072,Paddington Street,Glen Innes,Auckland
1783776,8052,Paddington Street,Northcote,Christchurch
3080284,2120,Paddock Lane,Pukekohe,
1790715,7882,Paddock Road,Blue Spur,Hokitika
3082974,4470,Paddon Place,Kelvin Grove,Palmerston North
1778495,9874,Paddon Road,Branxholme,Invercargill
3046065,3782,Paddy Road,"Rangiriri,Whangamarino",Te Kauwhata
1778201,9793,Paddys Alley Road,Athol,
1818375,7978,Paddys Lane,Waimate,
3048751,3110,Paddys Place,Bethlehem,Tauranga
1840826,9382,Paddys Ridge,Cardrona,Wanaka
1803519,4130,Padfield Place,Havelock North,
1829056,2010,Padfield Place,Sunnyhills,Auckland
1837320,0593,Padget Lane,Tinopai,
1840877,9391,Padgets Lane,Earnscleugh,Alexandra
1793843,6037,Padnell Crescent,"Newlands,Paparangi",Wellington
1799843,5026,Padstow Place,Camborne,Porirua
3084363,5010,Pae Ariki Place,Normandale,Lower Hutt
1786385,4072,Paea Road,Muriwai,Manutuke
1839746,3074,Paehinahina Road,Tikitere,Rotorua
1795895,3334,Paehoro Grove,Turangi,
1795839,3381,Paehua Street,Omori,Turangi
1778980,5381,Paekakariki Hill Road,"Paekakariki,Paekakariki Hill,Pauatahanui","Paekakariki,Porirua"
3082782,5034,Paekakariki Link Road,Paekakariki,
1809999,3970,Paekaka Road,Piopio,
1800726,3334,Paekiri Street,Turangi,
1795897,3334,Paekitawhiti Street,Turangi,
1809456,3191,Paekoa Road,Tawera,Taneatua
