road_id,postcode,name,locality,city
3039368,8042,Quadrant Drive,"Hornby South,Islington,Templeton",Christchurch
1837467,5010,Quadrant Drive,Waiwhetu,Lower Hutt
1801771,5032,Quadrant Heights,Paraparaumu,
1825474,1061,Quadrant Road,Onehunga,Auckland
1784399,8051,Quaids Road,Marshland,Christchurch
1784037,8025,Quaifes Road,Halswell,Christchurch
3082518,9382,Quaife Way,Lake Hawea,
1840357,4775,Quail Avenue,Feilding,
1770458,9412,Quailburn Drive,Omarama,
3065979,9412,Quailburn Road,"Omarama,Quailburn",Omarama
1799911,9320,Quail Close,Alexandra,
1798008,3112,Quail Court,Pyes Pa,Tauranga
1786052,7581,Quail Crescent,Takamatua,
1822235,0632,Quail Drive,Albany Heights,Auckland
1836965,0632,Quail Drive,Fairview Heights,Auckland
1836654,3204,Quail Place,Hamilton Lake,Hamilton
1836685,7201,Quail Place,Witherlea,Blenheim
1842097,0185,Quail Rise,Kauri,
3077691,7011,Quail Rise,Stoke,Nelson
1830879,0984,Quail Road,Kaukapakapa,
1841139,9305,Quail Street,Albert Town,Wanaka
1788606,7095,Quail Valley Road,"Belgrove,Eighty Eight Valley,Foxhill",Wakefield
1982653,7410,Quail Way,Amberley,
1818119,0505,Quail Way,Mangawhai Heads,Mangawhai
3032360,5510,Quail Way,Waitarere,Levin
1785439,8014,Quamby Place,Fendalton,Christchurch
1782352,7977,Quambys Road,Waihaorunga,Waimate
1784946,7472,Quan's Ford Road,Loburn,
1785630,8083,Quantock Place,Burwood,Christchurch
1781322,7991,Quantock Road,Kakahu,Geraldine
3056183,9014,Quarantine Island,"Otago Harbour,Quarantine Island/Kamau Taurua",
1788304,7011,Quarantine Road,Annesbrook,Nelson
1803840,4110,Quarantine Road,Bay View,Napier
1837770,9310,Quarry Court,Cromwell,
1839592,9884,Quarry Hills Fortification Road,Quarry Hills,Tokanui
1839211,8025,Quarry Hill Terrace,Kennedys Bush,Christchurch
1817796,8025,Quarrymans Lane,Kennedys Bush,Christchurch
1838640,9304,Quarry Place,Lake Hayes,Queenstown
1841627,4182,Quarry Ridge,Poraiti,Napier
1786004,7472,Quarry Road,Ashley Forest,Loburn
1820529,0482,Quarry Road,"Awanui,Kaitaia",
3062837,7778,Quarry Road,"Cavendish,Mount Somers,Surrey Hills",Mount Somers
3062850,2578,Quarry Road,"Drury,Runciman",Drury
1797814,4994,Quarry Road,Eketahuna,
1770624,9471,Quarry Road,"Flag Swamp,Waikouaiti",Waikouaiti
3062859,0181,Quarry Road,Glenbervie Forest,Hikurangi
1772716,9018,Quarry Road,Green Island,Dunedin
1779559,7334,Quarry Road,Hanmer Springs,
1825948,0114,Quarry Road,Hikurangi,
1819586,0472,Quarry Road,Kaikohe,
1815296,3285,Quarry Road,Karamu,
3062835,9024,Quarry Road,"Kinmont Park,Mosgiel",Mosgiel
1780064,7472,Quarry Road,Loburn,
1829344,2022,Quarry Road,Mangere,Auckland
1782760,8081,Quarry Road,Mount Pleasant,Christchurch
1820816,0881,Quarry Road,Muriwai,
1827209,2677,Quarry Road,Pukekohe,
1826013,0110,Quarry Road,Raumanga,Whangarei
1819439,0592,Quarry Road,Ruawai,
1798833,4796,Quarry Road,Taihape,
1814098,4395,Quarry Road,Te Wera,Stratford
1805184,4274,Quarry Road,Tikokino,
1806873,3673,Quarry Road,Tirohia,Paeroa
1820818,0871,Quarry Road,Waitoki,
1787389,7910,Quarry Road,Watlington,Timaru
1774652,9492,Quarry Street,Reidston,Oamaru
1838317,0930,Quarter Deck Lane,Gulf Harbour,Whangaparaoa
3042382,9584,Quartermain Road,"Popotunoa,Wairuna",Clinton
2004293,2018,Quarters Lane,Beachlands,Auckland
1842126,8025,Quarters Place,Halswell,Christchurch
1832531,2013,Quartley Place,Huntington Park,Auckland
3082483,3015,Quartz Avenue,Pukehangi,Rotorua
1842545,7614,Quartz Drive,Rolleston,
3080381,9305,Quartz Lane,Albert Town,Wanaka
1774269,9383,Quartz Lane,Mount Pisa,Cromwell
1842192,5018,Quartz Place,Brown Owl,Upper Hutt
1808168,7073,Quartz Range Road,Bainham,Collingwood
1800427,9300,Quartz Rise,Queenstown,
1771408,9384,Quartzville Road,"Bannockburn,Kawarau Gorge",Cromwell
1832720,2019,Quattro Avenue,Flat Bush,Auckland
1788821,7120,Quayle Street,Motueka,
1772951,9085,Quayle Street,Waitati,
1833354,0110,Quayside,Whangarei,
1824095,1010,Quay Street,"Auckland Central,Parnell",Auckland
1806239,3578,Quay Street,Kopu,Thames
1809564,3120,Quay Street,Whakatane,
1782762,8061,Quebec Place,Wainoni,Christchurch
