road_id,postcode,name,locality,city
1838810,0830,Raabia Close,Parakai,Helensville
3078811,1072,Raamuri Road,Glen Innes,Auckland
1814264,3583,Rabarts Road,Tuateawa,Coromandel
1777514,9891,Rabbidge Road,Glenham,Wyndham
3029751,9371,Rabbiters Drive,Jacks Point,Queenstown
1788598,7096,Rabbit Gully Road,Spooners Range,Wakefield
3083952,9391,Rabbitt Avenue,Clyde,
3083619,7615,Rabbit Way,Rolleston,
1813540,3510,Rabbit Way,Whitianga,
1805917,3415,Rabone Street,Arapuni,Putaruru
1822833,0612,Rabone Street,Henderson,Auckland
1950558,3173,Raby Lane,Pyes Pa,Tauranga
1797650,4710,Racecourse Avenue,Marton,
1781009,7730,Racecourse Avenue,Methven,
3081021,3600,Racecourse Avenue,Paeroa,
1824104,1026,Racecourse Parade,Avondale,Auckland
1780770,,Racecourse Road,Allenton,Ashburton
3047662,7482,Racecourse Road,"Amberley,Broomfield,Glasnevin","Amberley,Broomfield"
1801425,4412,Racecourse Road,Awapuni,Palmerston North
1778619,9779,Racecourse Road,Balfour,
1803839,4104,Racecourse Road,Bay View,Napier
1810904,3493,Racecourse Road,Cambridge,
3047653,9774,Racecourse Road,"Charlton,Upper Charlton",Gore
1770454,9494,Racecourse Road,"Duntroon,Waikaura",Duntroon
1779303,7992,Racecourse Road,"Geraldine,Orari","Geraldine,Temuka"
3047651,9810,Racecourse Road,"Glengarry,Hargest,Hawthorndale,Waihopai,Waverley",Invercargill
1798627,4077,Racecourse Road,Mangatuna,
1801497,3992,Racecourse Road,"Manunui,Taumarunui",Taumarunui
3047655,9376,Racecourse Road,"Matakanui,Omakau",Omakau
1804409,,Racecourse Road,"Otane,Waipawa",
1788057,7830,Racecourse Road,Reefton,
1802307,4032,Racecourse Road,Ruatoria,
1792540,5018,Racecourse Road,"Silverstream,Trentham",Upper Hutt
1784036,8042,Racecourse Road,Sockburn,Christchurch
1815117,3393,Racecourse Road,Te Aroha,
1811730,3800,Racecourse Road,Te Awamutu,
3047670,4077,Racecourse Road,Tolaga Bay,
1782135,7979,Racecourse Road,Waimate,
1805663,,Racecourse Road,Waipukurau,
1832069,2123,Racecourse Road,Waiuku,
3047658,7910,Racecourse Road,Washdyke,Timaru
3047677,3510,Racecourse Road,Whitianga,
1778515,9783,Racecourse Road,Winton,
3077685,7882,Racecourse Terrace Rise,Hokitika,
1813445,3112,Racecourse Way,Gate Pa,Tauranga
1783795,7476,Race Road,Eyrewell,West Eyreton
1788055,7830,Race Street,Blacks Point,Reefton
1998683,4120,Raceview Close,Raureka,Hastings
1776208,9772,Raceway Lane,Charlton,Gore
1829332,2012,Rachael Place,Farm Cove,Auckland
1790906,7201,Rachael Place,Witherlea,Blenheim
1785464,7482,Rachael Road,Broomfield,
1784392,8042,Rachel Place,Avonhead,Christchurch
1813977,3204,Rachel Place,Dinsdale,Hamilton
3084104,7615,Radar Drive,Rolleston,
1813401,3591,Radar Road,Hot Water Beach,Whitianga
1784391,8042,Radbrook Street,Avonhead,Christchurch
3026613,8051,Radcliffe Road,"Belfast,Marshland",Christchurch
1821369,0974,Radcliffe Road,Tomarata,Wellsford
3070981,1072,Radcliffe Street,"Glen Innes,Saint Heliers",Auckland
3070982,0112,Radcliffe Street,Kensington,Whangarei
1856055,7615,Radcot Drive,Rolleston,
1783796,7692,Raddens Road,Ohoka,
1837398,3210,Raddington Way,Huntington,Hamilton
1829330,2012,Raddock Place,Farm Cove,Auckland
1807567,3210,Radford Place,Harrowfield,Hamilton
3080672,9384,Radford Road,"Cromwell,Mount Pisa",Cromwell
1784395,8083,Radiata Avenue,Parklands,Christchurch
3080378,9305,Radiata Drive,Albert Town,Wanaka
1792712,5018,Radiata Grove,Brown Owl,Upper Hutt
3081643,0110,Radiata Grove,Port Whangarei,Whangarei
3051568,0626,Radiata Lane,Chatswood,Auckland
1789678,7095,Radiata Road,Golden Downs,Wakefield
1821370,0983,Radiata Road,Warkworth,
1807568,3214,Radiata Street,"Chartwell,Fairview Downs",Hamilton
3083545,0602,Radich Way,Glen Eden,Auckland
1820097,0376,Radio Road,Waipoua Forest,Aranga
1813856,3116,Radisich Place,Mount Maunganui,
1795684,5711,Radium Street,Martinborough,
1838078,7614,Radius Loop,Rolleston,
1842948,7893,Radley Heights,Karamea,
1782759,8023,Radley Street,Woolston,Christchurch
1793700,6037,Radnall Way,Johnsonville,Wellington
1799161,4412,Radnor Place,Highbury,Palmerston North
1814132,4394,Radnor Road,Midhirst,Stratford
