1815947,3110,Sabana Place,Bethlehem,Tauranga
1822655,0632,Sabana Place,Unsworth Heights,Auckland
3080810,6037,Saba Way,Grenada Village,Wellington
1783448,8013,Sabina Street,Shirley,Christchurch
3078517,7081,Sabine Drive,Richmond,
1828058,2025,Sabi Place,Papatoetoe,Auckland
1944769,3112,Sable Lane,Pyes Pa,Tauranga
1822962,0614,Sabot Place,Massey,Auckland
1828053,2025,Sabre Place,Papatoetoe,Auckland
2008833,3118,Sabre Street,Papamoa Beach,Papamoa
1822748,0602,Sabulite Road,"Glen Eden,Kelston",Auckland
1784083,8025,Sabys Road,Halswell,Christchurch
1807621,3206,Sacha Place,Glenview,Hamilton
1818434,0612,Sachel Place,Ranui,Auckland
1816861,4312,Sackville Street,Fitzroy,New Plymouth
1824791,1021,Sackville Street,Grey Lynn,Auckland
1795664,5711,Sackville Street,Martinborough,
3077634,0616,Sacred Kingfisher Road,Hobsonville,Auckland
3077380,2110,Saddleback Crescent,Papakura,
3083815,3330,Saddleback Drive,Richmond Heights,Taupo
1838821,8025,Saddleback Green,Halswell,Christchurch
1840409,6012,Saddleback Grove,Karori,Wellington
3084578,0110,Saddleback Lane,Maunu,Whangarei
1821915,0630,Saddleback Rise,"Mairangi Bay,Murrays Bay",Auckland
1798007,3112,Saddleback Rise,Pyes Pa,Tauranga
1840889,7071,Saddleback Road,Todds Valley,Nelson
1770109,9076,Saddle Hill Road,"Allanton,Fairfield,Saddle Hill,Scroggs Hill","Dunedin,Mosgiel"
1773452,9073,Saddle Ridge Road,"Berwick Forest,Clarendon","Milton,Outram"
3056914,4999,Saddle Road,"Ashhurst,Woodville",
1779312,8971,Saddle Road,"Ataahua,Teddington","Governors Bay,Tai Tapu"
3056909,9793,Saddle Road,"Athol,Parawa",Athol
1781628,7991,Saddle Road,"Kakahu,Waitohi","Geraldine,Temuka"
1779757,7382,Saddle Road,Lowry Hills Range,Cheviot
1773817,9586,Saddle Road,Papatowai,Owaka
1788333,7096,Saddle Road,Tapawera,Wakefield
1818242,4310,Saddle Row,Welbourn,New Plymouth
3028067,3991,Saddler Road,"Aukopae,Kirikau,Whanganui National Park","Taumarunui,Whanganui National Park"
1802012,4072,Saddler Road,Muriwai,Manutuke
3081347,8042,Saddlers Lane,Yaldhurst,Christchurch
3040193,3187,Saddlers Way,Papamoa,
3081229,3876,Saddle Terrace,Te Awamutu,
3039695,2679,Saddleton Road,"Clarks Beach,Waiau Pa","Clarks Beach,Pukekohe"
3079865,8025,Saddle Vale Rise,Halswell,Christchurch
1773186,9018,Saddleview Place,Fairfield,Dunedin
1825032,1025,Sadgrove Terrace,Mount Albert,Auckland
3079123,3400,Sadie Drive,Matamata,
