road_id,postcode,name,locality,city
3064891,7472,Taaffes Glen Road,"Loburn,Okuku,Okuku Range","Loburn,Okuku"
1820260,0410,Taaffe Street,Kaitaia,
3083010,4376,Taahunui Rise,Peacocke,Hamilton
1815706,3330,Taaku Lane,Acacia Bay,Taupo
1812839,3494,Taane Road,Maungatautari,Cambridge
3004600,3191,Taane Road,"Ruatoki,Tawera",Taneatua
3083834,3720,Taapapa Lane,Ngaruawahia,
3084530,2579,Taapapa Lane,Ramarama,Drury
1832640,2103,Taatahi Street,Weymouth,Auckland
1829353,2012,Tabago Place,Half Moon Bay,Auckland
1797356,4412,Tabak Crescent,Takaro,Palmerston North
1786610,8023,Tabart Street,Woolston,Christchurch
3081750,2676,Tabernacle Street,Karaka,Papakura
1823364,0612,Tabitha Crescent,Henderson,Auckland
1822253,0629,Tableau Place,Totara Vale,Auckland
1797686,4774,Table Flat Road,Apiti,
1774458,9291,Table Hill Road,"Milton,Table Hill",Milton
3085123,9371,Tableland Drive,Jacks Point,Queenstown
1805228,4182,Tablelands Road,Te Haroto,Napier
1797505,3197,Tablelands Road,Tirohanga,Opotiki
3072756,9498,Tabletop Road,Hakataramea Valley,
3081974,7608,Tabor Place,Lincoln,
1800697,4472,Tabor Street,Linton,Palmerston North
3080387,3173,Tabraham Crescent,Pyes Pa,Tauranga
1791104,7285,Tachalls Road,Ward,
1822256,0629,Tacitus Place,Totara Vale,Auckland
3084992,0932,Tack Road,Silverdale,Silverdale
3036687,5018,Tacoma Drive,Totara Park,Upper Hutt
1830499,2104,Tacoma Road,Wiri,Auckland
1832411,2022,Tacon Place,Mangere,Auckland
1841309,7730,Tactician Lane,Methven,
1800405,6022,Tacy Street,Kilbirnie,Wellington
1829362,2105,Tadley Court,Goodwood Heights,Auckland
3027700,7096,Tadmor-Bushend Road,"Tadmor,Tapawera",Wakefield
3042128,,Tadmor-Glenhope Road,"Glenhope,Tadmor,Tapawera","St. Arnaud,Wakefield"
3072244,7096,Tadmor Valley Road,"Tadmor,Tapawera",Wakefield
1838814,7681,Taeges Road,Springfield,
3077767,0794,Taemai Place,Okura Bush,Silverdale
1820483,0494,Taemaro Road,"Hihi,Mangonui",Mangonui
3083263,3225,Taeore Lane,Raglan,
1815854,3118,Taepa Close,Papamoa Beach,Papamoa
3078246,2120,Taepu Road,Pukekohe,
1839876,7612,Taerutu Lane,Pegasus,
3078152,3173,Taffe Crescent,Pyes Pa,Tauranga
1793936,6021,Taft Street,Brooklyn,Wellington
1831472,1071,Tagalad Road,Mission Bay,Auckland
1839383,2022,Tagata Way,Mangere,Auckland
1841572,8042,Taggart Place,Sockburn,Christchurch
3078449,0931,Tagish Way,Orewa,
1822786,0602,Tagor Street,Glen Eden,Auckland
