road_id,postcode,name,locality,city
1811122,3792,Uapoto Road,"Orini,Taupiri",
3082574,2679,Uatoto Road,Clarks Beach,
1801777,4077,Uawa Parade,Tolaga Bay,
1832228,2014,Udall Place,Bucklands Beach,Auckland
1815397,3700,Udy Lane,Huntly,
1815496,3200,Udy Place,Te Rapa Park,Hamilton
1819008,2010,Udys Road,Pakuranga,Auckland
1795378,5792,Udys Road,Waihakeke,Carterton
1795480,5712,Udy Street,Greytown,
1800289,5012,Udy Street,Petone,Lower Hutt
1811091,3225,Uenuku Avenue,Raglan,
1817237,4320,Uenuku Place,Waitara,
1810910,3720,Uenuku Street,Ngaruawahia,
2015684,2022,Uenuku Way,Auckland Airport,Auckland
1815369,3996,Uepango Road,Ongarue,
1856054,7615,Uffington Drive,Rolleston,
1791110,7274,Ugbrooke Road,Lower Dashwood,Seddon
1805375,4282,Ugly Hill Road,Wanstead,Waipukurau
1813993,3192,Uiraroa Road,Te Teko,Whakatane
3081468,2019,Uki Way,Flat Bush,Auckland
3078659,0616,Uku Lane,Hobsonville,Auckland
1800981,4822,Uku Street,Tangimoana,
3078852,3330,Uku Way,Wharewaka,Taupo
1828440,2019,Ulay Place,Clover Park,Auckland
3078054,2402,Ulcoats Lane,Pokeno,
1829811,2013,Uldale Place,Northpark,Auckland
1784059,8025,Uldale Place,Westmorland,Christchurch
1828447,2012,Ullswater Place,Half Moon Bay,Auckland
1835862,7206,Ulm Crescent,Woodbourne,Blenheim
3085208,3434,Ulmer Lane,Cambridge,Cambridge
1783683,8061,Ulm Place,Burwood,Christchurch
1792442,5026,Ulric Street,Plimmerton,Porirua
1824135,0600,Ulster Road,Blockhouse Bay,Auckland
3001347,3200,Ulster Street,"Beerescourt,Whitiora",Hamilton
1788395,7011,Ulster Street,"Enner Glynn,Wakatu",Nelson
1814643,3116,Ulster Street,Mount Maunganui,
1776172,9773,Ulster Street,Waikaka,Gore
1828452,2019,Ultima Place,Clover Park,Auckland
1781168,7784,Ulundi Road,Rakaia,
1805244,4112,Ulyatt Road,"Meeanee,Pirimai",Napier
3028302,4470,Ulysses Road,"Ashhurst,Bunnythorpe","Ashhurst,Palmerston North"
1817964,4332,Ulysses Street,Stratford,
3080080,0618,Uma Grove,Hobsonville,Auckland
3084351,0985,Umar Court,Warkworth,
3043371,0476,Umawera School Road,Umawera,Okaihau
3078028,9382,Umbers Street,Wanaka,
3004287,2019,Umbria Lane,Flat Bush,Auckland
1840940,0600,Umbriel Lane,Avondale,Auckland
1824870,1051,Umere Crescent,Ellerslie,Auckland
1787889,7893,Umere Road,"Kahurangi National Park,Karamea",
1810714,3010,Umukaria Road,Owhata,Rotorua
1788692,7198,Umukuri Road,"Brooklyn,Riwaka",Motueka
1832972,2022,Umu Place,Mangere,Auckland
1838232,0173,Umurangi Way,Tutukaka,Whangarei
1810715,3020,Umuroa Street,Mamaku,
1817412,4673,Umutahi Road,Matapu,Hawera
1804827,4978,Umutaoroa Road,Dannevirke,
1813163,3880,Umutawa Road,Pukeatua,
