road_id,postcode,name,locality,city
1838736,0614,Vadam Road,Massey,Auckland
1778845,9793,Vaga Street,Lumsden,
1777352,9891,Vaga Street,Menzies Ferry,Wyndham
1783688,8052,Vagues Road,"Northcote,Papanui",Christchurch
1825196,1023,Vagus Place,Royal Oak,Auckland
3018905,8025,Vahsel Bay Place,Wigram,Christchurch
1812811,3432,Vaile Court,Leamington,Cambridge
3034452,3081,Vaile Road,"Broadlands,Reporoa",
1811142,3286,Vaile Road,Newstead,Hamilton
1812869,3800,Vaile Street,Te Awamutu,
1814529,3889,Vailima Place,Kawhia,
1824147,1021,Vailima Way,Eden Terrace,Auckland
3079382,3114,Valabrina Drive,Omokoroa,
1823260,0610,Valdale Road,Henderson,Auckland
1801964,0632,Valdena Avenue,Albany Heights,Auckland
1817005,2019,Valderama Drive,Flat Bush,Auckland
1828441,2023,Valder Avenue,Otara,Auckland
1806592,3575,Valder Place,Waiomu,Thames
1831085,0630,Valdese Rise,Browns Bay,Auckland
1784341,8083,Valecrest Avenue,Parklands,Christchurch
1822371,0629,Valecrest Place,Bayview,Auckland
1819693,0293,Valencia Lane,Kerikeri,
1783690,8081,Valencia Lane,Mount Pleasant,Christchurch
1828422,2102,Valencia Place,Manurewa,Auckland
1817732,0173,Valencia Place,Matapouri,Whangarei
1803787,4175,Valentine Road,Bridge Pa,Hastings
1824131,1010,Valentines Lane,Auckland Central,Auckland
1793146,5010,Valentine Street,Alicetown,Lower Hutt
1827855,2110,Valentine Street,Papakura,
1829710,0983,Valerie Close,Warkworth,
1822378,0792,Valerie Crescent,Okura,Auckland
1784333,8051,Valerie Place,Redwood,Christchurch
1838175,7010,Valerie Place,Stepneyville,Nelson
3080354,5010,Valerie Smith Lane,Belmont,Lower Hutt
1805223,4102,Valerie Street,Clive,
1824144,1071,Vale Road,"Glendowie,Saint Heliers",Auckland
1826089,0112,Vale Road,Riverside,Whangarei
1808963,3110,Vale Street,Otumoetai,Tauranga
3058829,8042,Vale Terrace,Wigram,Christchurch
1828449,2022,Valetta Place,Mangere,Auckland
3019135,7771,Valetta Westerfield Road,"Valetta,Westerfield",Ashburton
1789203,7020,Valhalla Close,Richmond,
1821748,0626,Valhalla Drive,Beach Haven,Auckland
1789241,7020,Valhalla Drive,Richmond,
1789785,7020,Valhalla Lane,Richmond,
1791439,7274,Valhalla Road,Kekerengu,Kaikoura
1772940,9018,Valiant Road,Waldronville,Dunedin
