road_id,postcode,name,locality,city
3084829,3218,Waananga Road,Temple View,Hamilton
1810726,3074,Waana Street,Mourea,Rotorua
1823262,0612,Waari Avenue,Sunnyvale,Auckland
1780325,7683,Wabys Road,"Leeston,Southbridge",
1815365,3920,Wackrow Street,Taumarunui,
1824186,1072,Waddell Avenue,Point England,Auckland
1783697,8061,Waddell Lane,Avondale,Christchurch
1777747,9792,Waddell Road,"Braxton,Mossburn",Mossburn
1781166,7772,Waddells Road,Chertsey,Ashburton
3082509,9382,Waddell Street,Lake Hawea,
1792048,5011,Waddington Drive,Naenae,Lower Hutt
1780579,7500,Waddington Road,"Sheffield,Waddington",
1776190,9772,Waddle Road,"Mataura,Waikana",Mataura
1829011,2022,Waddon Place,Mangere,Auckland
1825498,1061,Wade Avenue,Onehunga,Auckland
3083040,0118,Wade Drive,One Tree Point,Whangarei
1811410,3218,Wade Lane,Temple View,Hamilton
1784245,8041,Wadeley Road,Ilam,Christchurch
1813610,3175,Wade Place,Welcome Bay,Tauranga
3047847,0932,Wade River Road,"Karepiro Bay,Stanmore Bay,Wade Heads",Whangaparaoa
1806599,3591,Wade Road,"Kaimarama,Whitianga",Whitianga
1775492,9495,Waderoe Street,Herbert,
1786823,8022,Wades Avenue,Saint Martins,Christchurch
1797892,4984,Wades Road,Pahiatua,
3071382,2571,Wades Road,Whitford,
1794270,6012,Wadestown Road,"Thorndon,Wadestown",Wellington
1824198,0600,Wade Street,Blockhouse Bay,Auckland
1815282,6012,Wade Street,Wadestown,Wellington
1793554,5028,Wadham Grove,Tawa,Wellington
1811086,3793,Wadham Road,Ngaruawahia,
1797460,4473,Wadham Street,Glen Oroua,
1784246,8053,Wadhurst Place,Burnside,Christchurch
1831225,0610,Wadier Place,Henderson,Auckland
1790809,7201,Wadsworth Crescent,Redwoodtown,Blenheim
1788689,7096,Wadsworth Road,Tapawera,Wakefield
1788543,7110,Wadsworth Street,Takaka,
1778588,9782,Wadworth Road,Otapiri,Winton
3079082,0814,Waekahu Road,Westgate,Auckland
3084684,3010,Waekura Street,Owhata,Rotorua
1770942,9310,Waenga Drive,Cromwell,
3080076,0618,Waenganui Road,Hobsonville,Auckland
1823256,0604,Waerenga Place,Titirangi,Auckland
1792878,5013,Waerenga Road,Days Bay,Lower Hutt
