road_id,postcode,name,locality,city
1829990,0294,Yacht Drive,Kerikeri,
1829287,2012,Yacht Place,Bucklands Beach,Auckland
3050229,,Yaldhurst Road,"Avonhead,Russley,Sockburn,Upper Riccarton,Yaldhurst",Christchurch
1832454,0632,Yale Place,Albany,Auckland
1793599,6021,Yale Road,Mount Cook,Wellington
1808754,3116,Yale Street,Mount Maunganui,
1787462,8024,Yale Street,Spreydon,Christchurch
3040060,3483,Yandle Road,"Putaruru,Tapapa","Putaruru,Tirau"
1830459,2110,Yang Place,Papakura,
3069687,3282,Yanicks Crescent,Fitzroy,Hamilton
1780354,7682,Yankee Crossing Road,Dunsandel,
1811560,3510,Yankee Lane,Whitianga,
1814964,3073,Yankee Road,Rerewhakaaitu,
1820031,0491,Yarborough Street,Kohukohu,
1831475,1011,Yarborough Street,Saint Marys Bay,Auckland
1817048,4320,Yardley Avenue,Waitara,
1784643,8042,Yardley Street,Avonhead,Christchurch
1783577,7977,Yards Road,Waihao Downs,Waimate
1775601,9230,Yare Lane,Balclutha,
1770306,9400,Yare Street,Oamaru,
1829813,2013,Yarlside Place,Northpark,Auckland
1805609,4120,Yarmouth Road,Flaxmere,Hastings
1783728,8061,Yarmouth Street,Aranui,Christchurch
1774497,9230,Yarmouth Street,Balclutha,
1791452,7300,Yarmouth Street,Kaikoura,
1797668,6037,Yarnbrook Grove,Churton Park,Wellington
1829272,2010,Yarra Place,Botany Downs,Auckland
1832917,2110,Yarrow Lane,Papakura,
3051268,5024,Yarrow Place,Papakowhai,Porirua
1771242,9572,Yarrow Street,Ettrick,Roxburgh
1776269,9810,Yarrow Street,"Glengarry,Invercargill,Richmond",Invercargill
1775438,9587,Yarrow Street,Kelso,Tapanui
1778035,9630,Yarrow Street,Nightcaps,
3058396,7674,Yarrs Road,"Lincoln,Springston",
1785682,8042,Yarrum Lane,Avonhead,Christchurch
1842560,2402,Yashili Drive,Pokeno,
1813300,3377,Yasmin Lane,Kinloch,Taupo
1780613,7020,Yateley Place,Richmond,
3083721,7410,Yates Place,Amberley,
3006815,2677,Yates Road,"Buckland,Pukekohe",Pukekohe
1829286,2024,Yates Road,Mangere East,Auckland
1781326,7991,Yates Road,Orari Gorge,Geraldine
1825519,1061,Yates Street,Onehunga,Auckland
3061153,5512,Yates Street,"Otaki,Otaki Beach",Otaki
1824178,1071,Yattendon Road,Saint Heliers,Auckland
1842817,2112,Yatterina Avenue,Takanini,Auckland
1809321,3112,Yatton Street,Greerton,Tauranga
1787037,7473,Yaxleys Road,Loburn,
1829283,2102,Yearsley Place,Manurewa,Auckland
1807800,3214,Yeats Crescent,Fairfield,Hamilton
3077780,5018,Yeats Grove,Trentham,Upper Hutt
1825369,1041,Yeats Way,Mount Roskill,Auckland
1825936,1060,Yee Place,Mount Wellington,Auckland
