road_id,postcode,name,locality,city
1839071,2112,Zabeel Crescent,Takanini,Auckland
2015085,7608,Zabeel Street,Lincoln,
1813775,3112,Zachary Place,Welcome Bay,Tauranga
3078119,0810,Zadar Street,Kumeu,
1793598,6022,Zaida Way,Maupuia,Wellington
1830238,1041,Zambezi Lane,Mount Roskill,Auckland
1815595,3116,Zambuk Way,Mount Maunganui,
1830239,1041,Zamora Lane,Mount Roskill,Auckland
1830860,0882,Zanders Road,Helensville,
1800348,5028,Zande Terrace,Tawa,Wellington
1813595,3112,Zapote Place,Ohauiti,Tauranga
1835287,2016,Zara Court,Flat Bush,Auckland
1813525,0632,Zara Court,Windsor Park,Auckland
1819402,3120,Zarling Lane,Coastlands,Whakatane
1792900,5019,Zeala Grove,Stokes Valley,Lower Hutt
1830863,0930,Zealandia Road,Manly,Whangaparaoa
3022250,0112,Zealandia Street,Kensington,Whangarei
3083835,7832,Zealand Street,Kumara,Greymouth
1789949,7010,Zeehaen Place,Britannia Heights,Nelson
1812316,3420,Zeehan Place,Tokoroa,
1830424,0614,Zefiro Drive,Massey,Auckland
1832396,2013,Zelanian Drive,East Tamaki,Auckland
1829278,2023,Zelda Avenue,Clover Park,Auckland
1783746,8061,Zena Place,Burwood,Christchurch
1829274,2112,Zenith Place,Conifer Grove,Takanini
1783926,8042,Zenith Place,Hei Hei,Christchurch
1780051,8971,Zephyr Terrace,Governors Bay,
1832560,1041,Zeralto Lane,Mount Roskill,Auckland
1793606,6012,Zetland Street,Highbury,Wellington
1830436,0612,Zeus Avenue,Henderson,Auckland
1820595,0483,Zidich Road,Kaingaroa,Kaitaia
3081880,3210,Ziegter Street,Chartwell,Hamilton
1804331,4775,Zigzag Road,"Ashhurst,Pohangina",Ashhurst
1812968,3493,Zig Zag Road,"Cambridge,Pukemoremore","Cambridge,Hamilton"
1783579,7977,Zig Zag Road,Elephant Hill,Waimate
1790362,7832,Zig Zag Road,Kumara,Greymouth
1789174,7096,Zig Zag Road,Tadmor,Wakefield
1780361,7572,Zig Zag Road,Windwhistle,Hororata
3081430,3721,Zillwood Lane,Taupiri,
3081873,3210,Zimmerman Road,Chartwell,Hamilton
1823628,0614,Zingaro Place,Massey,Auckland
3078462,8025,Zinnia Way,Wigram,Christchurch
3082823,8025,Zion Place,Halswell,Christchurch
1821733,0626,Zion Road,Birkenhead,Auckland
1809322,3110,Zion Way,Judea,Tauranga
1832394,2104,Zircon Place,Wiri,Auckland
3046539,0930,Zita Avenue,"Matakatia,Tindalls Beach",Whangaparaoa
1831371,0614,Zita Maria Drive,Massey,Auckland
1814843,3986,Zobell Road,Te Kuiti,
1823634,0610,Zodiac Street,Henderson,Auckland
1838993,2105,Zoe Court,Manurewa,Auckland
1793602,6021,Zohrab Street,Hataitai,Wellington
1798771,4797,Zohs Road,Mangaweka,
1838935,7610,Zuppicich Lane,Woodend,
1818415,2103,Zurich Place,Weymouth,Auckland
1777508,9781,Zwies Road,Browns,Winton
1778180,9794,Zwies Road East,Lintley,Lumsden
1778743,9794,Zwies Road West,Lintley,Lumsden
